"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"motion_outlier19"	"motion_outlier20"	"motion_outlier21"	"motion_outlier22"	"motion_outlier23"	"motion_outlier24"	"motion_outlier25"	"motion_outlier26"	"motion_outlier27"	"motion_outlier28"	"motion_outlier29"	"motion_outlier30"	"motion_outlier31"	"motion_outlier32"	"motion_outlier33"	"motion_outlier34"	"motion_outlier35"	"motion_outlier36"	"motion_outlier37"	"motion_outlier38"	"motion_outlier39"	"motion_outlier40"	"motion_outlier41"	"motion_outlier42"	"motion_outlier43"	"motion_outlier44"	"motion_outlier45"	"motion_outlier46"	"motion_outlier47"	"motion_outlier48"	"motion_outlier49"	"motion_outlier50"	"motion_outlier51"	"motion_outlier52"	"motion_outlier53"	"motion_outlier54"	"motion_outlier55"	"motion_outlier56"	"motion_outlier57"	"motion_outlier58"	"motion_outlier59"	"motion_outlier60"	"motion_outlier61"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0486069	-0.00206983	-0.0617539	-0.00097572	-0.00124558	0.000330384	0.0131401	-0.09262493	-0.0380784	0.00086451	-0.000253235	1.00000000001575e-09	0.19973073	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	0.0025113367	0.0058954418	-0.0045323944	0.0127079038	0.0182048251	-0.0019274238	-0.0099144658	-0.001728467	0.0075922503	0.0057163534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0486924	0.0491804	-0.137799	0.000609653	-0.000583878	0.000690703	8.55000000000022e-05	0.05125023	-0.0760451	0.001585373	0.000661702	0.000360319	0.25775053	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	1.7316e-06	0.0081111113	-0.0011837239	-0.0053658837	-0.0257199067	-0.0110091918	-0.0010030683	-0.0043608122	-0.0084102319	-0.0038093715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0406246	0.073403	-0.00451604	-0.000785218	-0.000209872	0.0006865	-0.00806780000000001	0.0242226	0.13328296	-0.001394871	0.000374006	-4.20299999999993e-06	0.25422736	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	-0.0047704283	0.0121893424	-0.002010021	0.0126644237	0.01403813	0.0006835644	-0.0031461758	0.0022569197	-0.0065917551	-0.0179263547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0487321	0.031225	-0.0751918	0.000907948	-0.00030015	0.000535154	0.00810750000000001	-0.042178	-0.07067576	0.001693166	-9.0278e-05	-0.000151346	0.21770076	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	-0.004355551	0.0046922851	-0.0009481562	0.0032595218	0.0035395369	-0.0030517241	-0.0038907849	-0.0194158857	0.0141466471	0.0145225933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0416861	0.0685259	-0.053954	-0.000384319	-0.000697913	0.000390155	-0.007046	0.0373009	0.0212378	-0.001292267	-0.000397763	-0.000144999	0.15733615	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	0.0047509635	-3.67699e-05	-0.0027374334	-0.0002604411	-0.0068095057	0.0004251807	-0.005955289	0.0186810196	-0.0101860623	-0.0100002016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0259825	0.0810707	-0.00828609	-0.000674009	-0.000304104	0.000390155	-0.0157036	0.0125448	0.04566791	-0.00028969	0.000393809	0	0.10809126	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	0.0020490159	-0.0028230682	0.0012881558	0.0045886209	0.0191007234	-0.0088164016	-0.0034568904	0.0096584504	-0.0193931807	0.0209457104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0191046	0.0482154	0.00941426	-0.00117038	-0.000196669	0.000390155	-0.0068779	-0.0328553	0.01770035	-0.000496371	0.000107435	0	0.08762385	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	-0.0002712325	0.0026488042	-0.0023943304	0.0095265451	0.0019026022	-0.0023421841	0.0088187066	0.0373052599	-0.0008404927	-0.0325608364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.016322	0.0490526	0.0591641	-0.000317013	4.76941e-05	-0.000209839	-0.0354266	0.000837200000000003	0.04974984	0.000853367	0.0002443631	-0.000599994	0.170899845	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	-0.014103898	0.0023908501	-0.0007057935	-0.0009275324	-0.0023722906	0.0130601389	0.0051124232	0.0075300039	0.0264649708	-0.0161482642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0206446	-0.00745072	-0.0463011	0.000190023	5.58387e-05	0.000310602	0.0369666	-0.05650332	-0.1054652	0.000507036	8.1446e-06	0.000520441	0.2507162	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	-0.0046744678	-0.0020504787	-0.0080783306	-0.0122735364	-0.028783409	0.0150987194	-0.0038012435	-0.0200798886	0.0015965291	0.0123650188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0206807	0.0987802	0.0114279	-0.00108883	-0.000387225	0.000377407	3.61000000000042e-05	0.10623092	0.057729	-0.001278853	-0.0004430637	6.6805e-05	0.253432105	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	-0.00013068	-0.0025473609	0.0014136459	-0.0012659285	-0.0015402272	-0.0055938917	-0.0140899373	0.0240465864	-0.0221806962	-0.008386173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00313227	0.00870175	0.00493802	0.000868648	7.00771e-05	0.000437804	-0.01754843	-0.09007845	-0.00648988	0.001957478	0.0004573021	6.03970000000001e-05	0.237875615	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	-0.008273852	-0.0071213585	-0.0001478885	0.0042153049	0.0139629344	0.0034416322	-0.0064112418	-0.0151636752	0.01423033	0.0034701189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0207509	0.0496214	-0.07577	0.000464413	0.000315944	0.000290605	0.01761863	0.04091965	-0.08070802	-0.000404235	0.0002458669	-0.000147199	0.179111345	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	-0.0020128717	-0.0051318914	-0.0055975225	-0.0236627978	-0.0505381884	-0.0063609023	-0.0086002357	0.0015550285	2.2347e-06	0.0114460278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0206764	0.0763998	0.0192154	-0.00100018	0.000331265	0.000360359	-7.45000000000016e-05	0.0267784	0.0949854	-0.001464593	1.5321e-05	6.97540000000001e-05	0.1993217	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	-0.003697552	0.0006408405	-0.0007379307	-0.0009629743	-0.000841107	0.0006193049	0.0185395546	0.0045873156	-0.0089641924	-0.0201832832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0207172	0.0751124	-0.0661604	0.000999822	0.000313967	0.000437804	4.07999999999971e-05	-0.00128740000000004	-0.0853758	0.002000002	-1.7298e-05	7.7445e-05	0.19144125	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	-0.0003524752	-0.0070235242	-3.72953e-05	-0.0037987385	0.0127852808	-4.88107e-05	0.0198952562	-0.0136165042	0.0003744161	0.0100389098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0206662	0.0569088	-0.0256177	0.000300555	0.000291026	0.000437804	-5.0999999999999e-05	-0.0182036	0.0405427	-0.000699267	-2.2941e-05	0	0.0949077	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	-0.0002415569	-0.0142922992	-0.0034314283	-0.0069281351	-0.0080373896	-0.0089203421	0.0168080951	0.0012848997	0.0017967917	0.0017404206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0206785	0.0627527	-0.0606676	-6.16985e-05	-0.000387225	0.000437805	1.22999999999998e-05	0.00584389999999999	-0.0350499	-0.0003622535	-0.000678251	9.99999999961535e-10	0.092931375	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	0.0017986547	-0.0129710511	-0.000418892	-0.0288697624	-0.0428233969	-0.0045451594	-0.0335729206	0.0162091432	0.0269547902	0.0045452799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0206785	0.0871664	-0.0187062	-0.000378601	-0.000387225	0.000437805	0	0.0244137	0.0419614	-0.0003169025	0	0	0.082220225	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	0.0013137814	-0.0062580876	0.0025847293	-0.008933544	-0.0058740936	-0.0140821186	0.0087045623	0.0128975203	-0.0089099033	-0.0085339921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
