"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"motion_outlier19"	"motion_outlier20"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.000163527	0.0110472	0.0030798	-0.000594626	0.000313993	0.000130778	-0.021383727	0.105888	0.0331003	-0.001940496	0	-0.00025	0.269896827	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	0.0035043902	-0.0012966935	0.0158076453	0.0073599683	0.016258059	0.0035112596	0.0031621627	0.0071663536	-0.0407552102	-0.0279355763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0754908	-0.18917	-0.247234	0.00299393	-0.000934692	0.00063363	-0.075327273	-0.2002172	-0.2503138	0.003588556	-0.001248685	0.000502852	0.792862923	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	-0.0461294674	-0.071356912	-0.0227075935	-0.0225698237	0.0197992344	0.0097038057	0.0378549737	-0.0381266474	-0.0252960271	0.0263889268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00604969	0.0276017	-0.0374106	0.00120352	-0.000430919	0.000867297	0.06944111	0.2167717	0.2098234	-0.00179041	0.000503773	0.000233667	0.62242871	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	-0.0042727155	-0.0162229629	0.0018684425	0.0637614267	-0.0054296472	-0.0255210838	0.048132291	0.0264378719	-0.0086925801	0.0157847455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00604965	-0.134615	-0.0736232	0.00149893	-0.000482664	0.000617297	3.99999999997625e-08	-0.1622167	-0.0362126	0.00029541	-5.1745e-05	-0.00025	0.22828709	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	0.0014534813	-0.0082543176	0.0430731489	-0.0284857674	0.0473365089	-0.0307999846	-0.0083040339	-0.003898831	0.0102963914	0.02249468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00605187	0.0024446	-0.0098534	0.000635797	-0.000732664	0.000617297	-2.21999999999983e-06	0.1370596	0.0637698	-0.000863133	-0.00025	0	0.25648827	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	0.0077341952	0.0135146044	-0.0381954215	0.0534899551	0.0026366771	0.0067000945	0.0175137278	-0.0064565818	-0.0124986176	-0.0050103529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00604965	-0.120808	-0.0356462	0.00169864	-0.000482664	0.000617297	2.21999999999983e-06	-0.1232526	-0.0257928	0.001062843	0.00025	0	0.21468977	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	0.0006678815	-0.012497897	0.0865328063	-0.0119623502	-0.0184166984	-0.0285900461	-0.0099641213	0.0190898601	0.013518598	0.0256018876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00270429	-0.050744	-0.0263184	0.00115594	-0.00018859	0.000617297	0.00334536	0.070064	0.00932779999999999	-0.0005427	0.000294074	0	0.12457586	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	0.0039933351	0.0211769718	-0.0748725641	0.0007950328	0.0091136589	0.0278652917	0.0025267489	-0.0422980201	-0.0192303635	-0.0270369307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00609015	-0.0508368	0.0610394	-0.00106146	0.000146768	0.000688908	-0.00338586	-9.28000000000109e-05	0.0873578	-0.0022174	0.000335358	7.16110000000001e-05	0.22205491	0.0520108938	0.0509138886	0.0491026536	0.0466025972	0.0434487905	0.0396854757	0.0353654455	0.030549302	0.025304607	0.0197049341	0.0138288366	0.0077587455	0.0015798132	-0.004621281	-0.010757547	-0.016742904	-0.0224933884	-0.0279283311	-0.0329714899	-0.0375521182	-0.0416059582	0.0087234765	0.0389372889	-0.0141884241	0.0282417406	-0.0193812366	0.0069763746	0.0142199909	0.022095569	0.0158203128	-0.0125819974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000422254	-0.0384229	0.073337	-0.000750812	-3.44657e-05	0.000617297	0.006512404	0.0124139	0.0122976	0.000310648	-0.0001812337	-7.16110000000001e-05	0.059398539	0.0519837232	0.0508059967	0.048862844	0.0461835398	0.0428084497	0.0387884217	0.0341840202	0.0290646136	0.0235073292	0.0175958911	0.0114193591	0.0050707869	-0.0013541801	-0.0077587455	-0.0140464202	-0.0201224762	-0.0258953737	-0.03127814	-0.0361896802	-0.0405559987	-0.044311314	0.0154844804	0.0470096236	-0.0134518428	0.0362472762	-0.0271607491	-0.0055202801	0.0174868022	0.0363811775	0.0352510313	-0.0030400874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00450692	-0.0952811	0.0926384	-0.00190254	-0.000127507	0.000617297	0.004084666	-0.0568582	0.0193014	-0.001151728	-9.30413e-05	0	0.142482731	0.0519555872	0.0506943307	0.0486148674	0.0457507597	0.0421482344	0.0378654364	0.0329714899	0.0275453833	0.021674694	0.015454175	0.0089842256	0.0023692706	-0.0042839244	-0.0108679768	-0.01727662	-0.0234064185	-0.0291584371	-0.0344398384	-0.0391653804	-0.0432587929	-0.0466540082	0.010144121	0.0133492147	0.1064652039	0.002081241	-0.0442483669	-0.0410467716	-0.02895143	0.0405226365	-0.0043669853	0.0281279499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
