"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.040493	-0.0490287	-0.0894911	-0.00274512	-0.000317737	0.000251132	0.03261986	-0.0695784	-0.1400081	7.41399999999999e-05	-0.0003469131	0	0.263259015	0.0522287737	0.051673682	0.050752895	0.0494729291	0.0478428428	0.0458741721	0.0435808493	0.0409791044	0.0380873499	0.0349260507	0.0315175794	0.0278860579	0.0240571864	0.020058062	0.0159169864	0.011663266	0.0073270047	0.00293889	-0.0014700233	-0.0058685331	-0.0102255113	-0.0487754317	0.0040820261	-0.0570185414	-0.006215363	-0.0079283681	0.0135455197	-0.0648859102	0.0522113089	-0.0120513592	0.0450523111	0	0	0	0	0	0	0	0	0	0	0
0.0404475	0.059368	0.042445	-0.00388267	-0.000317737	4.8943e-05	-4.54999999999969e-05	0.1083967	0.1319361	-0.00113755	0	-0.000202189	0.30736525	0.0522092763	0.0515959829	0.050579158	0.0491667543	0.0473698181	0.0452024033	0.0426814612	0.039826708	0.0366604707	0.0332075124	0.0294948387	0.0255514863	0.0214082961	0.0170976719	0.0126533271	0.0081100208	0.0035032861	-0.0011308477	-0.0057561371	-0.0103364079	-0.0148358378	-0.0183234159	0.0089507891	0.0223514364	-0.0533188773	0.0120404053	0.0328774858	0.0107253879	0.0076720429	0.0531736534	0.0388902555	0	0	0	0	0	0	0	0	0	0	0
0.0323769	0.0185487	0.086867	-0.00445462	-0.000126104	0.000251132	-0.0080706	-0.0408193	0.044422	-0.00057195	0.000191633	0.000202189	0.1416005	0.0521888067	0.0515144404	0.0503969439	0.0488459301	0.0468747407	0.0445003321	0.0417431291	0.0386268493	0.0351782991	0.0314271432	0.0274056492	0.0231484102	0.0186920473	0.0140748942	0.0093366682	0.0045181276	-0.0003392783	-0.0051937656	-0.0100035758	-0.0147273348	-0.0193244083	0.0556942822	0.0255997897	-0.0287249905	-0.0216598621	-0.006252484	-0.0005785525	-0.004619863	-0.0724294933	0.0167874825	-0.0166609211	0	0	0	0	0	0	0	0	0	0	0
0.0264484	0.0370502	0.0353553	-0.00428082	-0.000317737	0.000251132	-0.0059285	0.0185015	-0.0515117	0.0001738	-0.000191633	0	0.09421335	0.0521673651	0.0514290606	0.0502062834	0.0485105521	0.0463578411	0.0437684292	0.0407667093	0.0373809583	0.0336430707	0.029588258	0.0252547177	0.0206832724	0.0159169864	0.0110007588	0.0059809018	0.0009047034	-0.0041800175	-0.0092253617	-0.0141838011	-0.019008626	-0.0236543856	0.0210396166	0.010402057	-0.023960272	0.0474195778	-0.0502742543	0.0018651496	0.0176208307	-0.027303404	-0.0567693552	-0.0065799787	0	0	0	0	0	0	0	0	0	0	0
0.0198755	0.025517	0.0172577	-0.00362955	-0.000317737	0.000251132	-0.0065729	-0.0115332	-0.0180976	0.00065127	0	0	0.0687672	0.0521449521	0.05133985	0.0500072082	0.0481607204	0.0458193599	0.0430071852	0.0397530928	0.0360905197	0.0320571007	0.0276942808	0.0230468899	0.0181626821	0.0130918447	0.0078864829	0.0026000839	-0.0027130321	-0.0079982704	-0.013201323	-0.0182687262	-0.0231484102	-0.027790234	-0.0518241029	-0.0089405943	0.0063510849	0.0364014004	-0.01947107	0.0243686702	-0.0032147397	0.0495843862	-0.0278917771	0.0070684652	0	0	0	0	0	0	0	0	0	0	0
0.0180259	0.0565114	0.0105781	-0.00396471	-0.000317737	-0.000224732	-0.0018496	0.0309944	-0.0066796	-0.00033516	0	-0.000475864	0.0800748	0.052121568	0.051246815	0.0497997519	0.0477965391	0.0452595478	0.0422171104	0.0387032042	0.0347570714	0.0304227813	0.025748738	0.02078714	0.015593397	0.0102255113	0.00474343	-0.0007916247	-0.0063178387	-0.0117734969	-0.0170976719	-0.0222309049	-0.0271158693	-0.0316980113	-0.0595643741	-0.0123285944	0.055636589	-0.0075263567	-0.0039771221	-0.0161675394	-0.0079996007	0.0412161335	0.0387927032	-0.0146866233	0	0	0	0	0	0	0	0	0	0	0
0.0417227	0.0499301	0.0301747	-0.00392418	0.000145352	0.000251133	0.0236968	-0.0065813	0.0195966	4.05299999999996e-05	0.000463089	0.000475865	0.0988489	0.0520972133	0.0511499628	0.0495839492	0.0474181167	0.0446786654	0.0413987346	0.0376180017	0.0333822024	0.0287425773	0.0237552522	0.0184805588	0.0129823055	0.0073270047	0.0015830688	-0.0041800175	-0.009892538	-0.015485388	-0.0208909108	-0.0260437153	-0.0308814681	-0.0353456466	0.0131927321	0.0153209995	0.0636883354	-0.0248623043	0.0526392666	0.0334961553	0.0019876216	-0.0337614365	0.0501937169	0.0263809239	0	0	0	0	0	0	0	0	0	0	0
0.042914	0.0317413	0.0593504	-0.00381616	2.13449e-05	0.000251133	0.00119130000000001	-0.0181888	0.0291757	0.00010802	-0.0001240071	0	0.060157155	0.0520718884	0.0510493004	0.0493598362	0.0470255659	0.0440769831	0.0405526062	0.0364984753	0.0319675512	0.0270190229	0.0217175351	0.0161323429	0.0103364079	0.0044054445	-0.0015830688	-0.0075509019	-0.0134200948	-0.0191139759	-0.024558164	-0.0296815396	-0.0344171741	-0.0387032042	0.0438293766	0.0099471773	0.0195971682	0.0095672744	0.0468405296	-0.0257921401	-0.0060164544	-0.0615697634	-0.0030639056	-0.0089890416	0	0	0	0	0	0	0	0	0	0	0
0.0186907	0.0191421	0.0206376	-0.00392277	8.6903e-05	0.00015796	-0.0242233	-0.0125992	-0.0387128	-0.00010661	6.55581e-05	-9.3173e-05	0.088802355	0.0520455938	0.0509448353	0.0491274505	0.0466190039	0.0434547811	0.0396792925	0.0353456466	0.0305148036	0.0252547177	0.0196393809	0.0137477825	0.0076627981	0.0014700233	-0.00474343	-0.0108901587	-0.0168836987	-0.0226397406	-0.0280773158	-0.0331199354	-0.0376966663	-0.0417431291	0.0245465062	0.0066628311	-0.0500821139	0.0356601574	0.0277067164	0.0073976739	0.0099530099	-0.012186756	-0.0522138507	0.023635801	0	0	0	0	0	0	0	0	0	0	0
0.0329513	0.0147351	-0.00981473	-0.00357311	-7.00604e-05	-1.18749e-06	0.0142606	-0.004407	-0.03045233	0.00034966	-0.0001569634	-0.00015914749	0.0824084745	0.05201833	0.0508365754	0.048886831	0.0461985516	0.042812349	0.0387793789	0.0341605674	0.029025691	0.0234523225	0.017524659	0.0113322499	0.004968644	-0.0014700233	-0.0078864829	-0.0141838011	-0.0202668442	-0.0260437153	-0.0314271432	-0.0363358002	-0.040695531	-0.044440473	-0.0335395013	-0.0126441986	-0.0670250709	0.0131860094	0.0289935855	0.0102739521	0.0022007009	0.0597851461	-0.0396303483	0.0164247025	0	0	0	0	0	0	0	0	0	0	0
