"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.00263073	-0.00341749	3.07079e-05	1.80735e-05	-0.000257622	7.03774e-06	-0.00608901	-0.00598847	0.0110038079	-0.0001412695	-0.0001763933	-6.603996e-05	0.0422664259	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	-0.0010809115	-0.0017825714	-0.0063196524	-0.0181192473	-0.0296188517	-0.0044074156	0.0255631061	0.0106810822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00232811	-0.0081348	2.26294e-05	-0.000142707	-0.000257622	9.0393e-06	0.00030262	-0.00471731	-8.0785e-06	-0.0001607805	0	2.00156e-06	0.0131671115	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	-0.0005500413	-0.001141983	0.0001923991	-0.0082049018	-0.0062937237	0.0024214779	0.0064656635	0.0017642951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00107457	-0.00559994	5.64824e-05	0.000640753	-0.000257622	7.30777e-05	0.00340268	0.00253486	3.3853e-05	0.00078346	0	6.40384e-05	0.048346313	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	-0.0020219278	0.0075463578	0.0061584534	0.0102741483	0.0073053549	-0.0027501141	0.0015567989	0.0058691123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0030681	0.0123059	3.98094e-05	0.000292969	-0.000257622	7.30777e-05	-0.00414267	0.01790584	-1.6673e-05	-0.000347784	0	0	0.039454383	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	-0.0022359751	-4.96079e-05	-0.0078035397	-0.0003668328	-0.010693219	-0.0023231	0.0244297062	0.0215887179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0054749	-0.00317	3.63131e-05	0.00021957	-0.000180136	7.30777e-05	-0.0024068	-0.0154759	-3.4963e-06	-7.3399e-05	7.7486e-05	0	0.0254304463	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	-0.0015083734	-0.0020153653	-0.0150769228	-0.0101017979	-0.0151767311	-0.0074588635	0.0304304019	0.0097872421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00250199	-0.00899024	6.45079e-05	0.000631194	-0.000190943	-0.000121119	0.00797689	-0.00582024	2.81948e-05	0.000411624	-1.0807e-05	-0.0001941967	0.0446567098	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	-0.0002726571	0.0042882078	-0.0041925691	-0.0028863546	0.0041036787	-0.0230392049	0.0095356469	-0.0114458532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00194917	0.0123273	-0.0204331	-0.000250601	3.26566e-05	7.30777e-05	-0.00055282	0.02131754	-0.0204976079	-0.000881795	0.0002235996	0.0001941967	0.1073475329	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	0.0022288659	-0.0022888821	0.0030292616	-0.0120405968	-0.0304190048	-0.0338244156	0.024835627	0.0037196927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00330732	0.0182694	-0.0100821	-9.13418e-05	0.000233499	7.30777e-05	0.00135815	0.0059421	0.010351	0.0001592592	0.0002008424	0	0.03565633	0.0520108938	0.0509138886	0.0491026536	0.0466025972	0.0434487905	0.0396854757	0.0353654455	0.030549302	0.025304607	0.0197049341	0.0138288366	0.0077587455	0.0015798132	-0.004621281	-0.010757547	-0.016742904	-0.0224933884	-0.0279283311	-0.0329714899	-0.0375521182	-0.0416059582	0.0036369251	0.0039211797	0.0201611286	-0.0110215625	-0.0139482185	-0.0125882445	-0.0143902804	0.0254376405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-7.46532e-05	0.012317	-0.0115142	0.00022266	0.000185058	7.30777e-05	-0.0033819732	-0.0059524	-0.0014321	0.0003140018	-4.8441e-05	0	0.0288886132	0.0519837232	0.0508059967	0.048862844	0.0461835398	0.0428084497	0.0387884217	0.0341840202	0.0290646136	0.0235073292	0.0175958911	0.0114193591	0.0050707869	-0.0013541801	-0.0077587455	-0.0140464202	-0.0201224762	-0.0258953737	-0.03127814	-0.0361896802	-0.0405559987	-0.044311314	0.0026176261	0.0075292074	0.0078696347	-0.0072308342	-0.0118140515	-0.0105809549	0.0099047258	-0.0058926049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000742865	0.00591363	-0.0148869	-3.6955e-05	8.04348e-05	7.30777e-05	0.0008175182	-0.00640337	-0.0033727	-0.000259615	-0.0001046232	0	0.0288054982	0.0519555872	0.0506943307	0.0486148674	0.0457507597	0.0421482344	0.0378654364	0.0329714899	0.0275453833	0.021674694	0.015454175	0.0089842256	0.0023692706	-0.0042839244	-0.0108679768	-0.01727662	-0.0234064185	-0.0291584371	-0.0344398384	-0.0391653804	-0.0432587929	-0.0466540082	0.0027091697	0.0029218621	-0.0018014772	-0.0101805666	-0.0192237011	-0.0155820112	0.0333348926	0.0089947332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
