"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"motion_outlier19"	"motion_outlier20"	"motion_outlier21"	"motion_outlier22"	"motion_outlier23"	"motion_outlier24"	"motion_outlier25"	"motion_outlier26"	"motion_outlier27"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.00319926	0.00604754	0.0234711	0.000279387	-0.000156462	-0.000158541	-0.00045401	-0.00406466	0.011281	0.000561803	-6.2693e-05	0	0.04702447	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	0.0114185906	0.0063281393	0.0031074421	-0.0587123316	-0.0077541103	0.0009233188	0.0251635608	0.0007469086	0.0162004582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0100041	0.0101447	0.0234551	-5.61092e-05	-0.000156462	-0.000158541	0.01320336	0.00409716	-1.59999999999987e-05	-0.0003354962	0	0	0.03409133	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	0.0156730709	0.00333285	0.0077594673	-0.0675536366	-0.0033426855	-0.0003573886	0.0079992671	-0.0026100298	0.0426208595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0050115	0.0101401	-0.0139653	-5.61092e-05	-0.000156462	4.73956e-05	-0.0150156	-4.5999999999987e-06	-0.0374204	0	0	0.0002059366	0.06273743	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	0.0032224488	0.0080125088	0.0065300651	-0.0519346375	-0.0079325643	0.0105414633	-0.0009289635	0.001798234	0.0004656068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00327101	-0.0156089	-0.0139659	-0.000126512	-6.68149e-05	-0.000158541	0.00174049	-0.025749	-5.99999999994702e-07	-7.04028e-05	8.96471e-05	-0.0002059366	0.045789415	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	0.0069147305	0.0100126694	0.0084817134	-0.0256969513	0.0059883705	-0.0045958366	-0.0263149044	0.0104397331	0.0194213377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0100089	0.00579322	-0.0139414	-0.000313502	-3.10368e-05	-1.20044e-05	0.01327991	0.02140212	2.4500000000002e-05	-0.00018699	3.57781e-05	0.0001465366	0.053171765	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	0.0010673618	0.0127513075	0.010566422	-0.0120414516	-0.0132981831	0.0001666726	-0.0072236301	0.0046943743	-0.0288303116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0100109	0.00790784	-0.0294125	-0.000313502	-0.000156462	0.000106486	2.00000000000027e-06	0.00211462	-0.0154711	0	-0.0001254252	0.0001184904	0.0297835	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	0.0020584255	0.0180870675	0.0151829317	9.28813e-05	0.0067351947	0.0040175177	-0.0345475774	0.0174054801	-0.0047174051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0100171	-0.0156215	-0.0346982	-0.000313502	-0.000156462	0.000197219	6.20000000000134e-06	-0.02352934	-0.0052857	0	0	9.0733e-05	0.03335789	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	-0.0055969723	0.0188908713	0.0091348107	0.0267026152	-0.0170414543	-0.006500706	-0.0141642388	0.015337173	-0.0641588395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00190165	0.00749306	-0.0429629	-0.00104221	0.000347746	-7.05183e-05	-0.01191875	0.02311456	-0.00826470000000001	-0.000728708	0.000504208	-0.0002677373	0.118330675	0.0520108938	0.0509138886	0.0491026536	0.0466025972	0.0434487905	0.0396854757	0.0353654455	0.030549302	0.025304607	0.0197049341	0.0138288366	0.0077587455	0.0015798132	-0.004621281	-0.010757547	-0.016742904	-0.0224933884	-0.0279283311	-0.0329714899	-0.0375521182	-0.0416059582	-0.0049649141	0.0145364563	0.0174353609	0.0495893878	-0.0074734614	-0.0047357835	-0.0333524973	0.0143430165	-0.0223548564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00671269	0.00463324	-0.0326092	-0.00057542	0.000225493	-7.05183e-05	-0.00481104	-0.00285982	0.0103537	0.00046679	-0.000122253	0	0.04747671	0.0519837232	0.0508059967	0.048862844	0.0461835398	0.0428084497	0.0387884217	0.0341840202	0.0290646136	0.0235073292	0.0175958911	0.0114193591	0.0050707869	-0.0013541801	-0.0077587455	-0.0140464202	-0.0201224762	-0.0258953737	-0.03127814	-0.0361896802	-0.0405559987	-0.044311314	-0.0055231858	0.0288185698	0.0236568236	0.0865693415	-0.0044692865	-0.009948988	-0.0200168276	0.0003561919	-0.0524507459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00671325	-0.0156176	-0.0159199	0.000277173	-8.26198e-05	-0.000524364	-5.59999999999276e-07	-0.02025084	0.0166893	0.000852593	-0.0003081128	-0.0004538457	0.117668275	0.0519555872	0.0506943307	0.0486148674	0.0457507597	0.0421482344	0.0378654364	0.0329714899	0.0275453833	0.021674694	0.015454175	0.0089842256	0.0023692706	-0.0042839244	-0.0108679768	-0.01727662	-0.0234064185	-0.0291584371	-0.0344398384	-0.0391653804	-0.0432587929	-0.0466540082	0.0021225484	0.0151528653	0.0104079014	0.0349045034	0.0047815711	-0.0080213266	-0.0066631518	0.0216234559	-0.0377515742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00670338	0.00583032	-0.0355121	-0.000441294	-2.53815e-05	-0.000481917	9.8699999999995e-06	0.02144792	-0.0195922	-0.000718467	5.72383e-05	4.24470000000001e-05	0.081957605	0.0519264863	0.0505788988	0.0483587652	0.0453043854	0.0414684511	0.0369171367	0.0317289578	0.0259934166	0.0198094581	0.0132837629	0.0065289069	-0.0003385804	-0.0072002268	-0.0139376608	-0.0204346535	-0.0265791242	-0.0322650733	-0.0373944116	-0.0418786518	-0.0456404355	-0.0486148674	0.0007144457	0.0175958723	0.0205521817	0.041149878	0.0020784504	-0.0107499782	-0.0198675202	-0.002997772	0.0001721982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.380374703292263	-1.08091270754883	-2.22840312389761	-1.68540061352814
-0.00671045	-0.0155886	-0.0138211	-0.000441294	4.3327e-05	-0.000169304	-7.06999999999965e-06	-0.02141892	0.021691	0	6.87085e-05	0.000312613	0.062183065	0.051896421	0.0504597097	0.0480945804	0.0448445497	0.0407694154	0.0359441567	0.0304575546	0.024410558	0.0179144269	0.0110886847	0.0040589197	-0.0030455261	-0.0100939368	-0.0169566271	-0.0235073292	-0.0296255153	-0.0351986159	-0.0401240904	-0.044311314	-0.0476832451	-0.050177843	-0.0055578976	0.026231295	0.0267128548	0.0492247555	0.0017984657	-0.0118990939	0.004924356	0.0016852345	-0.0435132849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.27014591083183	-1.28774394727322	-2.22840312389761	-1.68540061352814
