"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-6.11838e-05	-0.0441256	-0.0401384	0.000590762	3.25673e-05	0.000221123	2.23667e-05	0.0526193	-0.0194503	-0.000933568	-2.3474e-05	6.5711e-05	0.1232296167	0.0522287737	0.051673682	0.050752895	0.0494729291	0.0478428428	0.0458741721	0.0435808493	0.0409791044	0.0380873499	0.0349260507	0.0315175794	0.0278860579	0.0240571864	0.020058062	0.0159169864	0.011663266	0.0073270047	0.00293889	-0.0014700233	-0.0058685331	-0.0102255113	-0.0238684084	0.0160830813	-0.0573689366	0.0234456541	-0.0063681154	0.001371242	0.0232668492	-0.0556429483	0.0199252268	-0.016724736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.018957	-0.045563	0.00137098	0.000856177	-0.000441125	0.000155412	-0.0188958162	-0.00143740000000001	0.04150938	0.000265415	-0.0004736923	-6.5711e-05	0.1020835112	0.0522092763	0.0515959829	0.050579158	0.0491667543	0.0473698181	0.0452024033	0.0426814612	0.039826708	0.0366604707	0.0332075124	0.0294948387	0.0255514863	0.0214082961	0.0170976719	0.0126533271	0.0081100208	0.0035032861	-0.0011308477	-0.0057561371	-0.0103364079	-0.0148358378	0.0151600525	-0.0075597343	0.0728258698	-0.0350935452	-0.011047315	-0.0048635162	0.0282838691	0.0937384331	-0.0170547487	0.0072650063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00379446	-0.0966754	-0.048316	0.000715882	-4.68137e-05	7.69591e-05	0.01516254	-0.0511124	-0.04968698	-0.000140295	0.0003943113	-7.84529e-05	0.14661488	0.0521888067	0.0515144404	0.0503969439	0.0488459301	0.0468747407	0.0445003321	0.0417431291	0.0386268493	0.0351782991	0.0314271432	0.0274056492	0.0231484102	0.0186920473	0.0140748942	0.0093366682	0.0045181276	-0.0003392783	-0.0051937656	-0.0100035758	-0.0147273348	-0.0193244083	-0.0184015229	0.0319418578	-0.0514401684	0.0129994262	-0.0006249424	-0.0017152308	0.0120878439	-0.0633959379	0.0057370189	-0.009784315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0189405	0.0149138	0.0559991	-0.000285276	-0.000441125	-0.000245456	-0.01514604	0.1115892	0.1043151	-0.001001158	-0.0003943113	-0.0003224151	0.31694456	0.0521673651	0.0514290606	0.0502062834	0.0485105521	0.0463578411	0.0437684292	0.0407667093	0.0373809583	0.0336430707	0.029588258	0.0252547177	0.0206832724	0.0159169864	0.0110007588	0.0059809018	0.0009047034	-0.0041800175	-0.0092253617	-0.0141838011	-0.019008626	-0.0236543856	0.0210516533	-0.0091520583	0.0563678757	-0.0405945501	-0.0268040693	-0.0304367092	0.0281538102	0.0744325874	-0.0418056922	0.0052313547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0189313	-0.106898	-0.0359135	0.00100451	0.000252208	-9.45884e-05	9.20000000000087e-06	-0.1218118	-0.0919126	0.001289786	0.000693333	0.0001508676	0.32043293	0.0521449521	0.05133985	0.0500072082	0.0481607204	0.0458193599	0.0430071852	0.0397530928	0.0360905197	0.0320571007	0.0276942808	0.0230468899	0.0181626821	0.0130918447	0.0078864829	0.0026000839	-0.0027130321	-0.0079982704	-0.013201323	-0.0182687262	-0.0231484102	-0.027790234	-0.0129421348	0.0364587313	-0.0615126381	0.0122521192	-0.0267093056	0.0050680064	-0.0022577653	-0.0577351845	-0.0353022876	-0.0021972657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0189153	-0.0385103	-0.0149377	0.00136973	0.000252208	-9.45884e-05	1.59999999999987e-05	0.0683877	0.0209758	0.000365220000000001	0	0	0.1076405	0.052121568	0.051246815	0.0497997519	0.0477965391	0.0452595478	0.0422171104	0.0387032042	0.0347570714	0.0304227813	0.025748738	0.02078714	0.015593397	0.0102255113	0.00474343	-0.0007916247	-0.0063178387	-0.0117734969	-0.0170976719	-0.0222309049	-0.0271158693	-0.0316980113	0.0205363091	0.0021735815	0.0637023874	-0.0413423474	0.0064731327	-0.0446898548	0.0461009542	0.0517151149	-0.0393144148	0.0062686404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0212561	-0.0825155	-0.0544511	0.00136973	0.000252208	0.000588542	0.0401714	-0.0440052	-0.0395134	0	0	0.0006831304	0.15784652	0.0520972133	0.0511499628	0.0495839492	0.0474181167	0.0446786654	0.0413987346	0.0376180017	0.0333822024	0.0287425773	0.0237552522	0.0184805588	0.0129823055	0.0073270047	0.0015830688	-0.0041800175	-0.009892538	-0.015485388	-0.0208909108	-0.0260437153	-0.0308814681	-0.0353456466	-0.0265837441	-0.002844601	-0.0685904608	0.0016792942	-0.0288591026	-0.0012492063	-0.0174939714	-0.0535456076	-0.0242689099	0.009924574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00384184	0.0110659	0.0159244	-0.000887231	-0.000313495	0.000588542	-0.01741426	0.0935814	0.0703755	-0.002256961	-0.000565703	0	0.32250436	0.0520718884	0.0510493004	0.0493598362	0.0470255659	0.0440769831	0.0405526062	0.0364984753	0.0319675512	0.0270190229	0.0217175351	0.0161323429	0.0103364079	0.0044054445	-0.0015830688	-0.0075509019	-0.0134200948	-0.0191139759	-0.024558164	-0.0296815396	-0.0344171741	-0.0387032042	-0.0034233759	0.0250676333	0.0437671165	-0.0275877003	-0.0111428718	-0.0302410597	0.0454851541	0.0301735314	-0.0149709013	-0.0165081746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00387022	-0.0645624	-0.0309744	0.00135142	0.000291853	0.000160995	2.83800000000002e-05	-0.0756283	-0.0468988	0.002238651	0.000605348	-0.000427547	0.28613278	0.0520455938	0.0509448353	0.0491274505	0.0466190039	0.0434547811	0.0396792925	0.0353456466	0.0305148036	0.0252547177	0.0196393809	0.0137477825	0.0076627981	0.0014700233	-0.00474343	-0.0108901587	-0.0168836987	-0.0226397406	-0.0280773158	-0.0331199354	-0.0376966663	-0.0417431291	-0.0081096471	0.0099383055	-0.0441449613	-0.0112878473	-0.0058529726	0.0359859882	-0.0535016304	-0.0158520844	-0.0172082559	-0.0001407494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0144968	0.0165209	-0.0276114	0.000961983	-0.000162657	0.000588542	0.01062658	0.0810833	0.003363	-0.000389437000000001	-0.00045451	0.000427547	0.15864758	0.05201833	0.0508365754	0.048886831	0.0461985516	0.042812349	0.0387793789	0.0341605674	0.029025691	0.0234523225	0.017524659	0.0113322499	0.004968644	-0.0014700233	-0.0078864829	-0.0141838011	-0.0202668442	-0.0260437153	-0.0314271432	-0.0363358002	-0.040695531	-0.044440473	-0.0093589325	-0.0016119751	0.0116318763	-0.0147044662	-0.0099139081	-0.0111027598	0.0232498939	-0.0072454579	-0.0167298931	-0.001348394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
