"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"motion_outlier19"	"motion_outlier20"	"motion_outlier21"	"motion_outlier22"	"motion_outlier23"	"motion_outlier24"	"motion_outlier25"	"motion_outlier26"	"motion_outlier27"	"motion_outlier28"	"motion_outlier29"	"motion_outlier30"	"motion_outlier31"	"motion_outlier32"	"motion_outlier33"	"motion_outlier34"	"motion_outlier35"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.00743993	0.00359016	0.00763191	-0.000156408	-4.74672e-05	-0.000597546	-0.01013677	-0.04214634	-0.03494199	-7.26999999999981e-07	0.0006490078	-0.000333157	0.13636969	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	0.0346565746	0.0234143938	-0.0476322916	0.0171973351	-0.0365992478	-0.0162441463	-0.0008675073	-0.0241754039	-0.0413264485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00734454	0.0464234	0.0740056	-0.00148025	0.00062063	-6.9994e-05	-9.53899999999999e-05	0.04283324	0.06637369	-0.001323842	0.0006680972	0.000527552	0.23527688	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	0.0324027248	0.0386360127	-0.0298518253	0.045519733	-0.0273681321	0.0124064608	-0.0123972315	-0.0452255637	-0.0372419111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.007325	0.0352606	0.0135182	-0.00175388	0.000784534	-0.000425685	-1.95400000000002e-05	-0.0111628	-0.0604874	-0.00027363	0.000163904	-0.000355691	0.11133099	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	0.0334740316	0.046111055	0.0036479652	0.0276157474	-0.0223479945	0.0279336018	-0.021965665	-0.0472884416	-0.012391373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0215905	0.0631573	0.0515766	-0.0024607	0.00112395	-0.000597546	0.0142655	0.0278967	0.0380584	-0.00070682	0.000339416	-0.000171861	0.14112545	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	0.0357018998	0.0610791828	0.0105801768	0.0627600583	-0.0214684634	0.0293596648	-0.0433197759	-0.0587358014	-0.0005671699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0300509	0.0592635	0.033148	-0.00357587	0.00149378	9.369e-05	0.0084604	-0.0038938	-0.0184286	-0.00111517	0.00036983	0.000691236	0.1395946	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	0.0455661017	0.0597383703	0.0170593299	0.0684688171	-0.0334536938	0.0240553572	-0.0558949402	-0.0541251818	0.0066443399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0322274	0.0462951	0.000285845	-0.00373398	0.00110114	0.00182656	0.0021765	-0.0129684	-0.032862155	-0.00015811	-0.00039264	0.00173287	0.162188055	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	0.0569904809	0.0527958621	0.0005779377	0.0524644606	-0.0367589043	0.003135878	-0.0337252199	-0.0636871154	0.0340378469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0253781	0.0518167	-0.00631643	-0.0048156	0.00140657	0.00136091	-0.00684930000000001	0.0055216	-0.006602275	-0.00108162	0.000305430000000001	-0.00046565	0.111608175	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	0.0684722791	0.03648582	-0.0238333856	0.0447285979	-0.057551691	-0.0245857811	-0.0217770969	-0.0606058913	0.0273484384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0285128	0.0199219	-0.0174021	-0.00537754	0.00260271	5.51833e-05	-0.0538909	-0.0318948	-0.01108567	-0.000561939999999999	0.00119614	-0.0013057267	0.250061705	0.0520108938	0.0509138886	0.0491026536	0.0466025972	0.0434487905	0.0396854757	0.0353654455	0.030549302	0.025304607	0.0197049341	0.0138288366	0.0077587455	0.0015798132	-0.004621281	-0.010757547	-0.016742904	-0.0224933884	-0.0279283311	-0.0329714899	-0.0375521182	-0.0416059582	0.0812214574	0.0285440063	-0.0353149957	0.0419993247	-0.0565130083	-0.0391375199	-0.0038989843	-0.0725064986	0.0440861658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0861932	0.0401468	0.0401233	-0.00591043	0.00124667	-0.000504483	-0.0576804	0.0202249	0.0575254	-0.00053289	-0.00135604	-0.0005596663	0.257860515	0.0519837232	0.0508059967	0.048862844	0.0461835398	0.0428084497	0.0387884217	0.0341840202	0.0290646136	0.0235073292	0.0175958911	0.0114193591	0.0050707869	-0.0013541801	-0.0077587455	-0.0140464202	-0.0201224762	-0.0258953737	-0.03127814	-0.0361896802	-0.0405559987	-0.044311314	0.0800318938	0.0191624624	-0.0606496303	0.0576205919	-0.0687980641	-0.050095227	-0.0073493907	-0.0653463698	-0.0128616441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0518905	0.0453678	0.00457496	-0.00376328	0.000338109	0.000421056	0.0343027	0.005221	-0.03554834	0.00214715	-0.000908561	0.000925539	0.27413454	0.0519555872	0.0506943307	0.0486148674	0.0457507597	0.0421482344	0.0378654364	0.0329714899	0.0275453833	0.021674694	0.015454175	0.0089842256	0.0023692706	-0.0042839244	-0.0108679768	-0.01727662	-0.0234064185	-0.0291584371	-0.0344398384	-0.0391653804	-0.0432587929	-0.0466540082	0.0826319054	0.0352861541	-0.0539872218	0.0402201132	-0.0675446214	-0.0426486478	-0.0105304108	-0.0616405906	0.0270442782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
