"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
5.03633e-05	0.000122951	-0.0098569	-1.51053e-05	0	9.80666e-05	0.0177521633	-0.154850049	0.0678179	0.0006513467	0	0	0.2729874473	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	0.0044455446	-0.0430451909	0.0212039988	-0.0240439422	-0.0026367813	-0.0494883485	0.0450404087	-0.0410618521	0.0149258091	0	0	0	0	0	0
5.03633e-05	0.0592302	0.0161306	-1.10255e-05	0	9.80666e-05	0	0.059107249	0.0259875	4.0798e-06	0	0	0.085298739	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	-0.0104190118	0.0093115344	-0.0023894452	-0.025347276	-0.0165093815	-0.0437703282	0.0286504801	0.0074244544	-0.0269938946	0	0	0	0	0	0
5.03633e-05	0.0706592	0.0310537	0.000195568	2.6581e-24	9.80667e-05	0	0.011429	0.0149231	0.0002065935	2.6581e-24	1.00000000006996e-10	0.03668178	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	-0.0111232697	0.0492519099	-0.0333025135	0.0111190753	-0.0243333238	-0.0401992306	0.0718485015	0.0025729224	-0.0777434008	0	0	0	0	0	0
4.88488e-05	0.115303	0.0402051	-7.20644e-05	-9.7702e-05	4.47579e-05	-1.5145e-06	0.0446438	0.0091514	-0.0002676324	-9.7702e-05	-5.33088e-05	0.0747288745	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	-0.0052070276	-0.0068352617	0.0155899874	0.0638552081	-0.0153486947	0.022044445	0.056666796	-0.0355618811	-0.041986404	0	0	0	0	0	0
3.43852e-05	0.135631	0.0572131	-0.000183875	7.55661e-05	2.48191e-05	-1.44636e-05	0.020328	0.017008	-0.0001118106	0.0001732681	-1.99388e-05	0.0526013386	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	-0.0107523696	0.0020191518	0.0302199281	0.0624207538	0.0076243724	0.072782575	0.008559443	-0.0144781628	-0.0211614048	0	0	0	0	0	0
0.00543104	0.126849	0.059471	-0.000677477	0	9.80667e-05	0.0053966548	-0.00878200000000001	0.00225790000000001	-0.000493602	-7.55661e-05	7.32476e-05	0.0485573398	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	-0.0113414828	0.0259337507	0.0168378382	0.068594192	0.0051557604	0.0967066046	-0.0095068748	-0.0432379712	0.0120653056	0	0	0	0	0	0
3.05941e-05	0.115267	0.0640258	-0.000664735	0.00052242	9.80666e-05	-0.0054004459	-0.011582	0.0045548	1.2742e-05	0.00052242	-1.00000000006996e-10	0.0482953509	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	-0.014604066	0.0037845838	0.0146653779	0.0430609002	0.0015584195	0.0395228631	-0.0259778583	-0.0315584843	-0.0125825754	0	0	0	0	0	0
0.0229084	0.0991023	0.0561202	-0.000311339	0	9.80667e-05	0.0228778059	-0.0161647	-0.00790560000000001	0.000353396	-0.00052242	1.00000000006996e-10	0.0907389109	0.0520108938	0.0509138886	0.0491026536	0.0466025972	0.0434487905	0.0396854757	0.0353654455	0.030549302	0.025304607	0.0197049341	0.0138288366	0.0077587455	0.0015798132	-0.004621281	-0.010757547	-0.016742904	-0.0224933884	-0.0279283311	-0.0329714899	-0.0375521182	-0.0416059582	-0.0112165203	0.0023242681	0.0040601382	-0.0333103796	-0.0123779924	-0.008183976	-0.0111170489	-0.0043125481	-0.0093698979	0	0	0	0	0	0
0.0228906	0.115283	0.0383806	-0.000200785	0.000521232	9.80667e-05	-1.78000000000018e-05	0.0161807	-0.0177396	0.000110554	0.000521232	0	0.0655274	0.0519837232	0.0508059967	0.048862844	0.0461835398	0.0428084497	0.0387884217	0.0341840202	0.0290646136	0.0235073292	0.0175958911	0.0114193591	0.0050707869	-0.0013541801	-0.0077587455	-0.0140464202	-0.0201224762	-0.0258953737	-0.03127814	-0.0361896802	-0.0405559987	-0.044311314	-0.0081931765	0.0177139288	-0.0149939787	-0.0760730258	-0.0157831281	-0.0722243671	-0.0149877964	-0.0111093042	-0.0448185099	0	0	0	0	0	0
0.0258104	0.0911577	0.0568962	1.46209e-05	0.000259358	9.80667e-05	0.00291980000000001	-0.0241253	0.0185156	0.0002154059	-0.000261874	0	0.069424695	0.0519555872	0.0506943307	0.0486148674	0.0457507597	0.0421482344	0.0378654364	0.0329714899	0.0275453833	0.021674694	0.015454175	0.0089842256	0.0023692706	-0.0042839244	-0.0108679768	-0.01727662	-0.0234064185	-0.0291584371	-0.0344398384	-0.0391653804	-0.0432587929	-0.0466540082	-0.0063379779	-0.0038830484	0.0142561195	-0.0553278867	-0.0130306193	-0.0874567728	-0.0213533693	-0.0099684076	-0.0263548688	0	0	0	0	0	0
