"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.00194557	0.0335628	0.000968295	-0.000172738	0.000303772	-5.83863e-05	0.01858073	0.00838120000000001	-0.040488705	0	0.000533904	-0.0002206893	0.1051803	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	-0.0073729944	0.0051139711	0.0539129763	0.0389821338	-0.0164049574	0.0089208752	-0.0217332874	-0.0047478612	-0.0376229381	-0.0111250796	0	0	0	0	0
-0.00509417	0.0359013	0.00512193	-0.000172738	0.000168389	7.04055e-06	-0.0031486	0.0023385	0.004153635	0	-0.000135383	6.542685e-05	0.0196812275	0.0520108938	0.0509138886	0.0491026536	0.0466025972	0.0434487905	0.0396854757	0.0353654455	0.030549302	0.025304607	0.0197049341	0.0138288366	0.0077587455	0.0015798132	-0.004621281	-0.010757547	-0.016742904	-0.0224933884	-0.0279283311	-0.0329714899	-0.0375521182	-0.0416059582	-0.0018035686	0.016395634	0.034117181	-0.0278736383	-0.0122782728	-0.0036537883	0.0035395432	0.037196475	0.0156460608	0.0165444923	0	0	0	0	0
-0.00124008	0.0191884	0.0227219	-0.0010435	0.000204674	0.000412303	0.00385409	-0.0167129	0.01759997	-0.000870762	3.6285e-05	0.00040526245	0.1037824325	0.0519837232	0.0508059967	0.048862844	0.0461835398	0.0428084497	0.0387884217	0.0341840202	0.0290646136	0.0235073292	0.0175958911	0.0114193591	0.0050707869	-0.0013541801	-0.0077587455	-0.0140464202	-0.0201224762	-0.0258953737	-0.03127814	-0.0361896802	-0.0405559987	-0.044311314	-0.0075238978	0.0082860902	0.0032197433	-0.02331334	-0.0089193108	-0.0100287289	0.0185951769	-0.0055635182	-0.0426711367	-0.0185333361	0	0	0	0	0
-0.00167898	0.0196669	0.000969792	-0.000186398	0.000303772	0.000162303	-0.0004389	0.0004785	-0.021752108	0.000857102	9.9098e-05	-0.00025	0.082979508	0.0519555872	0.0506943307	0.0486148674	0.0457507597	0.0421482344	0.0378654364	0.0329714899	0.0275453833	0.021674694	0.015454175	0.0089842256	0.0023692706	-0.0042839244	-0.0108679768	-0.01727662	-0.0234064185	-0.0291584371	-0.0344398384	-0.0391653804	-0.0432587929	-0.0466540082	-0.0051261426	0.0121187889	0.0164475336	0.0283166837	-0.0564534111	0.0018792009	0.0197089547	0.0337792205	-0.0072740015	0.0035070727	0	0	0	0	0
-0.0145884	0.0360418	-0.0173096	-0.000845622	0.000303773	-3.6354e-05	-0.01290942	0.0163749	-0.018279392	-0.000659224	9.99999999961535e-10	-0.000198657	0.090457812	0.0519264863	0.0505788988	0.0483587652	0.0453043854	0.0414684511	0.0369171367	0.0317289578	0.0259934166	0.0198094581	0.0132837629	0.0065289069	-0.0003385804	-0.0072002268	-0.0139376608	-0.0204346535	-0.0265791242	-0.0322650733	-0.0373944116	-0.0418786518	-0.0456404355	-0.0486148674	-0.0092943839	0.0110096392	0.0028753666	-0.0389865861	-0.0187757602	-0.0122629792	0.0198815565	0.0208583009	0.0192133118	-0.0003281206	0	-0.380374703292263	-1.08091270754883	-2.22840312389761	-1.68540061352814
-0.0205251	0.0352471	-0.000793946	-0.000589974	0.000374602	0.000162303	-0.0059367	-0.000794699999999995	0.016515654	0.000255648	7.0829e-05	0.000198657	0.049503754	0.051896421	0.0504597097	0.0480945804	0.0448445497	0.0407694154	0.0359441567	0.0304575546	0.024410558	0.0179144269	0.0110886847	0.0040589197	-0.0030455261	-0.0100939368	-0.0169566271	-0.0235073292	-0.0296255153	-0.0351986159	-0.0401240904	-0.044311314	-0.0476832451	-0.050177843	-0.0037062379	0.010101335	0.0065463294	-0.0181799578	-0.0531803653	-0.0027760673	0.0073470107	0.0174967341	-0.0040718748	0.013089045	0	-1.27014591083183	-1.28774394727322	-2.22840312389761	-1.68540061352814
-0.0527175	-0.0250461	-0.0865543	0.000368959	0.000976762	-0.000291116	-0.0321924	-0.0602932	-0.085760354	0.000958933	0.00060216	-0.000453419	0.278971554	0.051865392	0.0503367722	0.0478223571	0.044371389	0.0400514517	0.0349471469	0.0291584371	0.0227986886	0.0159924506	0.0088730165	0.0015798132	-0.0057443291	-0.0129559745	-0.0199138901	-0.0264818121	-0.0325311144	-0.0379433273	-0.0426124582	-0.0464470668	-0.0493720561	-0.0513301431	-0.0162377646	-0.0063220596	0.0063209023	-0.0167832751	0.0208596104	-0.0138176762	0.0129800667	0.0009067664	0.0178939988	-0.0654580374	0	-1.72108836539445	-1.30444164896667	-2.22840312389761	-1.68540061352814
-0.0431417	-0.0162061	-0.173467	0.000304476	0.00087251	-0.000941945	0.0095758	0.00884	-0.0869127	-6.44830000000001e-05	-0.000104252	-0.000650829	0.1463067	0.0518333998	0.0502100954	0.0475421407	0.043885044	0.0393148935	0.0339267737	0.0278327876	0.0211597241	0.0140464202	0.0066408724	-0.0009028426	-0.0084277735	-0.0157773596	-0.0227986886	-0.0293456776	-0.0352821126	-0.0404844828	-0.0448445497	-0.0482715996	-0.0506943307	-0.0520623368	-0.0294241496	-0.0171951567	-0.0049151112	-0.0186998158	-0.0250843685	-0.0337023175	-0.0326153629	-0.0408095651	0.0738135955	0.0183464726	0	-1.94040207786486	-1.30946970887924	-2.22840312389761	-1.68540061352814
-0.0494417	-0.0194046	-0.114932	-0.00024146	0.00112772	-0.00213636	-0.0063	-0.0031985	0.058535	-0.000545936	0.00025521	-0.001194415	0.16781155	0.0518004449	0.0500796887	0.0472539781	0.0433856593	0.0385600826	0.0328837193	0.0264818121	0.0194956122	0.0120792627	0.0043963972	-0.0033834701	-0.0110886847	-0.0185492395	-0.0256005252	-0.0320869629	-0.0378654364	-0.0428084497	-0.0468069407	-0.049772687	-0.0516402525	-0.0523684314	-0.0085366172	-0.0531872152	0.0326655428	-0.0607718482	0.0110664329	0.0116649742	-0.0781527407	-0.0609371135	0.0235239255	-0.0584885	0	-1.8639743861055	-1.31045519011602	-2.22840312389761	-1.68540061352814
-0.0362976	-0.033233	-0.107719	-0.00109122	0.00113443	-0.00220746	0.0131441	-0.0138284	0.00721299999999998	-0.00084976	6.71000000000005e-06	-7.11000000000002e-05	0.080564	0.051766528	0.0499455618	0.0469579174	0.0428733831	0.0377873696	0.0318186811	0.0251067401	0.0178083308	0.0100939368	0.0021437585	-0.0058564958	-0.0137199483	-0.0212629165	-0.0283092043	-0.0346942175	-0.0402688086	-0.0449027607	-0.0484878293	-0.050940271	-0.0522027989	-0.0522459219	-0.017080688	-0.0510754316	0.0545842883	0.0555811935	0.0253626825	0.0041157939	-0.0711173375	-0.0836377626	-0.0146306667	-0.0148734798	0	-1.269730985461	-1.30552401864244	-2.22840312389761	0.592443852028073
