"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.00625681	0.00461738	-0.00216586	-0.000186921	-9.47865e-06	-1.91867e-05	0.01669071	0.02275778	0.01331584	-0.0002654294	-0.00035566265	-0.0004142947	0.1045336675	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	0.0010620652	0.0558922557	0.0037437393	0.0465899471	0.0048811282	0.0406064259	0.0018277287	-0.0486543577	0.0035013822	0.0163750478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00625495	0.00459412	0.0150086	-0.00028431	-9.47865e-06	-9.43099e-05	-1.86000000000023e-06	-2.32599999999998e-05	0.01717446	-9.7389e-05	0	-7.51232e-05	0.02582519	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	0.0059803064	0.0253102336	0.01065904	0.0089662426	-0.01393639	0.0429062992	-0.0002667363	0.0242498684	-0.0207049764	0.0206198542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00318302	-0.0108577	0.063498	0.00019371	-0.000465576	-0.000170947	-0.00307193	-0.01545182	0.0484894	0.00047802	-0.00045609735	-7.66371e-05	0.1175508725	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	0.0120646389	0.0029755659	0.0202822539	0.0450247191	0.0054038952	0.0387401875	-0.0176347019	-0.0319781194	0.0407718519	0.0056138608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00187464	0.0022984	0.105002	0.000511192	-0.000255987	-0.000350166	-0.00130838	0.0131561	0.041504	0.000317482	0.000209589	-0.000179219	0.09128298	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	0.0113318696	-0.0320324278	0.0317894808	-0.0244028877	0.0071177879	0.0785672736	-0.0238053474	0.0239239791	-0.0246802213	0.006150675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0183376	-0.00356879	0.113893	0.000333594	-0.000412978	-0.000675274	-0.02021224	-0.00586719	0.00889100000000001	-0.000177598	-0.000156991	-0.000325108	0.06795528	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	0.013535705	-0.01844038	0.0218450594	0.0269027197	0.0316708851	0.0068393314	-0.0348450489	-0.0128244771	-0.0097512219	-0.0117125778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0279189	-0.00357227	0.124039	0.000516386	-0.000261443	-0.000893446	-0.0095813	-3.47999999999972e-06	0.010146	0.000182792	0.000151535	-0.000218172	0.04735573	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	0.0137961928	-0.0289567416	0.0334480065	-0.0216680233	0.0104610177	0.0018811177	-0.0300726998	0.03159435	0.0183189008	-0.0279938346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0197949	0.020178	0.10926	0.000434611	-0.000298643	-0.000675274	0.008124	0.02375027	-0.014779	-8.1775e-05	-3.72e-05	0.000218172	0.06351062	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	0.0125964875	-0.0099337314	0.0140666039	-0.0120523034	0.0034989012	-0.065611119	0.0122661997	0.0113092754	0.018067652	-0.0473134789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00538185	0.120925	0.124081	0.000104688	-0.000412978	-0.000675274	0.01441305	0.100747	0.014821	-0.000329923	-0.000114335	0	0.15219395	0.0520108938	0.0509138886	0.0491026536	0.0466025972	0.0434487905	0.0396854757	0.0353654455	0.030549302	0.025304607	0.0197049341	0.0138288366	0.0077587455	0.0015798132	-0.004621281	-0.010757547	-0.016742904	-0.0224933884	-0.0279283311	-0.0329714899	-0.0375521182	-0.0416059582	0.0113033585	-0.0162714554	0.0665981715	0.0066820493	0.0267735404	-0.0362404516	0.0079916025	0.0212788351	-0.0229996037	0.0066798021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0128584	0.210311	0.101682	0.000661973	-0.000412978	-0.00132028	0.01824025	0.089386	-0.022399	0.000557285	0	-0.000645006	0.1901398	0.0519837232	0.0508059967	0.048862844	0.0461835398	0.0428084497	0.0387884217	0.0341840202	0.0290646136	0.0235073292	0.0175958911	0.0114193591	0.0050707869	-0.0013541801	-0.0077587455	-0.0140464202	-0.0201224762	-0.0258953737	-0.03127814	-0.0361896802	-0.0405559987	-0.044311314	0.0069744322	0.0025773393	0.1568188213	0.0064602218	-0.0306146579	-0.035076848	-0.0091541034	0.0065006026	0.0133160067	0.0055175228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0226279	0.0803073	0.0718756	0.000239953	-0.000412978	-0.00100982	-0.0354863	-0.1300037	-0.0298064	-0.00042202	0	0.00031046	0.2319204	0.0519555872	0.0506943307	0.0486148674	0.0457507597	0.0421482344	0.0378654364	0.0329714899	0.0275453833	0.021674694	0.015454175	0.0089842256	0.0023692706	-0.0042839244	-0.0108679768	-0.01727662	-0.0234064185	-0.0291584371	-0.0344398384	-0.0391653804	-0.0432587929	-0.0466540082	0.006755542	0.0387290268	0.1367996733	0.0631208931	-0.0037142392	-0.0360839909	-0.0245268446	-0.0003471022	0.0041900397	0.0361525407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
