"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"motion_outlier19"	"motion_outlier20"	"motion_outlier21"	"motion_outlier22"	"motion_outlier23"	"motion_outlier24"	"motion_outlier25"	"motion_outlier26"	"motion_outlier27"	"motion_outlier28"	"motion_outlier29"	"motion_outlier30"	"motion_outlier31"	"motion_outlier32"	"motion_outlier33"	"motion_outlier34"	"motion_outlier35"	"motion_outlier36"	"motion_outlier37"	"motion_outlier38"	"motion_outlier39"	"motion_outlier40"	"motion_outlier41"	"motion_outlier42"	"motion_outlier43"	"motion_outlier44"	"motion_outlier45"	"motion_outlier46"	"motion_outlier47"	"motion_outlier48"	"motion_outlier49"	"motion_outlier50"	"motion_outlier51"	"motion_outlier52"	"motion_outlier53"	"motion_outlier54"	"motion_outlier55"	"motion_outlier56"	"motion_outlier57"	"motion_outlier58"	"motion_outlier59"	"motion_outlier60"	"motion_outlier61"	"motion_outlier62"	"motion_outlier63"	"motion_outlier64"	"motion_outlier65"	"motion_outlier66"	"motion_outlier67"	"motion_outlier68"	"motion_outlier69"	"motion_outlier70"	"motion_outlier71"	"motion_outlier72"	"motion_outlier73"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.145067	-0.365552	0.108537	-0.00737199	-0.00179945	0.000565054	0.15306115	-0.493848	0.442159	-0.02278819	-0.00281742	0.00118693	2.42869515	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	0.1430877464	-0.0081640405	0.1012999886	-0.0587139913	0.0590327664	-0.1104678768	-0.0524430232	-0.0108308221	0.1065702477	0.1222054711	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.219532	-0.0145357	-0.0658967	-0.0105625	-0.00252736	-2.7314e-05	0.074465	0.3510163	-0.1744337	-0.00319051	-0.00072791	-0.000592368	0.8254544	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	0.1433657268	0.0254643578	0.0779798009	0.0471239798	-0.1085158308	-0.0309402093	0.0023335022	0.095087309	0.0769345051	0.144231637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0644762	0.0299872	0.0092145	-0.00294457	-0.000264567	-0.000569511	-0.1550558	0.0445229	0.0751112	0.00761793	0.002262793	-0.000542197	0.7958359	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	0.051808562	0.0818656436	0.0095383533	-0.0088452792	-0.0405201095	0.0329611977	0.036675928	0.0446182502	0.0511986204	0.0035593794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.000223929	0.033	-0.032584	-2.28253e-05	0.000445526	-0.000569511	-0.064700129	0.0030128	-0.0417985	0.0029217447	0.000710093	0	0.291103314	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	0.0456341252	0.0780129753	0.0387361807	0.0039322666	-0.0697279416	-0.0086882206	-0.0239157582	-0.0020195797	0.0933276609	0.0226915049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0174566	0.0196496	-0.0243425	0.000388206	0.000224892	-0.000321935	0.017680529	-0.0133504	0.0082415	0.0004110313	-0.000220634	0.000247576	0.083234494	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	0.0280618263	0.0867261081	0.0184356714	-0.0213283549	-0.0390998904	0.0219813196	-0.0018897676	0.0212610839	0.0568043997	0.0212585876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0182291	-0.0277511	0.00687632	-0.000295577	0.000233151	0.000304749	0.000772500000000002	-0.0474007	0.03121882	-0.000683783	8.25899999999999e-06	0.000626684	0.14532832	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	0.0401448455	0.0789581314	0.0406630438	-0.0142134111	-0.0570334087	0.0071609313	0.0140265657	0.0382130063	0.077330557	0.0084988818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.000266466	-0.00434292	0.0125247	-0.000498167	-0.000426292	0.000247202	-0.018495566	0.02340818	0.00564838	-0.00020259	-0.000659443	-5.7547e-05	0.093531126	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	0.0324902444	0.0809345935	0.0361275733	-0.0148777752	-0.043928782	0.0236450706	0.0267923673	0.0652232939	0.0371762685	-5.08426e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0179406	-0.00192847	0.0125618	-9.45044e-05	0.000490717	-0.000702277	-0.017674134	0.00241445	3.70999999999982e-05	0.0004036626	0.000917009	-0.000949479	0.133633214	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	0.0381165144	0.0773203593	0.0448656407	-0.0077594215	-0.0462391616	0.0140477703	-0.0017189284	0.0377470919	0.0598825288	0.0095319914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0218113	0.0157882	-0.0213956	0.00143699	0.000941405	-0.000223457	-0.0038707	0.01771667	-0.0339574	0.0015314944	0.000450688	0.00047882	0.17859489	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	0.0248257923	0.0742496272	0.0274599248	-0.0029450983	-0.0313097468	0.0186258067	0.0101354914	0.0370394972	0.043453958	-0.0151588647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0390004	0.0434735	-0.00221811	0.00175183	0.000660351	-0.000702277	-0.0171891	0.0276853	0.01917749	0.00031484	-0.000281054	-0.00047882	0.11778759	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	0.021440543	0.0712552557	0.0438620786	-0.0043466683	-0.02705252	0.0077242958	-0.0067402383	0.0124713196	0.0580405659	-0.0198959355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
