"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.00537854	-0.0143924	0.0223793	0.000740517	-3.47334e-05	-0.000277334	0.00773156	0.0335235	0.0663448	0.0007293039	-0.0006579324	0	0.176961675	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	0.0100634869	-0.0078030119	-0.0441888889	-0.0243525995	0.1116442335	0.0451032638	-0.0158745746	0.0333781277	-0.0762671907	-0.0056344848	0	0	0	0	0	0	0	0	0	0	0	0
-0.0130383	0.0154168	0.0253974	-0.00013994	-0.000571553	-0.000638244	-0.00765976	0.0298092	0.0030181	-0.000880457	-0.0005368196	-0.00036091	0.12939639	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	-6.72567e-05	0.0041288147	-0.0768365466	-0.0841197705	0.1009614789	0.1165190891	-0.0236564582	0.0913538591	-0.0341451867	-0.0169851608	0	0	0	0	0	0	0	0	0	0	0	0
-0.0459789	0.0153832	0.0252877	-0.00073383	-0.000159447	-0.0010308	-0.0329406	-3.36000000000017e-05	-0.000109700000000001	-0.00059389	0.000412106	-0.000392556	0.1030115	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	-0.0134269768	0.059484043	-0.1537176692	-0.1013288475	0.0383216369	0.1743531562	-0.0638753751	0.0612777207	-0.0492081753	-0.0054130904	0	0	0	0	0	0	0	0	0	0	0	0
-0.0459877	0.0334887	0.114398	-0.000553005	0.00012395	-0.0012992	-8.79999999999631e-06	0.0181055	0.0891103000000001	0.000180825	0.000283397	-0.0002684	0.1438557	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	0.0173296057	0.0232383331	-0.1746213342	-0.1217007202	0.0168624766	0.1639209357	-0.0728196914	0.1225357583	-0.0447734956	0.0392182357	0	0	0	0	0	0	0	0	0	0	0	0
-0.0552838	-0.00330455	0.0920034	-0.000235091	0.000622293	-0.00116728	-0.00929610000000002	-0.03679325	-0.0223946000000001	0.000317914	0.000498343	0.00013192	0.1158928	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	0.0347616006	0.0008475826	-0.1403505279	-0.0935840414	-0.0456966168	0.1304581296	-0.0197545173	0.0572771655	-0.0614897609	0.0298599101	0	0	0	0	0	0	0	0	0	0	0	0
-0.0665636	-0.0256358	0.0952999	-0.000478793	0.00123541	-0.00116728	-0.0112798	-0.02233125	0.00329649999999999	-0.000243702	0.000613117	0	0.0797485	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	0.0625676295	-0.0063156187	-0.0828620686	-0.0813033232	-0.0155823516	0.0690801896	-0.0507695156	0.0482349705	-0.0451357332	0.0229898198	0	0	0	0	0	0	0	0	0	0	0	0
-0.0553678	-0.050631	0.0433855	-0.00161185	0.00123541	-0.00116728	0.0111958	-0.0249952	-0.0519144	-0.001133057	0	0	0.14475825	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	0.0581747768	0.0094081808	-0.0783697804	-0.0445007374	-0.0389191593	0.0548420233	-0.0019291878	0.0167658823	-0.1005071607	0.0112360978	0	0	0	0	0	0	0	0	0	0	0	0
-0.0555757	-0.0506449	0.0730795	-0.00167022	0.00110492	-0.00116728	-0.00020789999999999	-1.38999999999972e-05	0.029694	-5.83700000000001e-05	-0.00013049	0	0.0393588	0.0520108938	0.0509138886	0.0491026536	0.0466025972	0.0434487905	0.0396854757	0.0353654455	0.030549302	0.025304607	0.0197049341	0.0138288366	0.0077587455	0.0015798132	-0.004621281	-0.010757547	-0.016742904	-0.0224933884	-0.0279283311	-0.0329714899	-0.0375521182	-0.0416059582	0.0789264233	-0.0090212733	-0.0028690947	-0.072326706	0.0205223017	-0.0020046084	0.0045681715	0.0144838859	-0.0651033976	-0.0344271698	0	0	0	0	0	0	0	0	0	0	0	0
-0.0685167	-0.050726	0.0608658	-0.00220885	0.000884324	-0.00148327	-0.012941	-8.11000000000006e-05	-0.0122137	-0.00053863	-0.000220596	-0.00031599	0.0789966	0.0519837232	0.0508059967	0.048862844	0.0461835398	0.0428084497	0.0387884217	0.0341840202	0.0290646136	0.0235073292	0.0175958911	0.0114193591	0.0050707869	-0.0013541801	-0.0077587455	-0.0140464202	-0.0201224762	-0.0258953737	-0.03127814	-0.0361896802	-0.0405559987	-0.044311314	0.0640719365	0.0150118656	-0.0652025901	-0.0035929074	0.0623726251	0.0300474073	-0.0291158926	0.031145875	-0.0936995804	-0.0127191017	0	0	0	0	0	0	0	0	0	0	0	0
-0.0665874	-0.0274543	0.193013	-0.00195885	0.00080352	-0.000546953	0.00192929999999999	0.0232717	0.1321472	0.00025	-8.08040000000002e-05	0.000936317	0.22070425	0.0519555872	0.0506943307	0.0486148674	0.0457507597	0.0421482344	0.0378654364	0.0329714899	0.0275453833	0.021674694	0.015454175	0.0089842256	0.0023692706	-0.0042839244	-0.0108679768	-0.01727662	-0.0234064185	-0.0291584371	-0.0344398384	-0.0391653804	-0.0432587929	-0.0466540082	0.1047004038	-0.0348739176	-0.0397991256	-0.0073751642	0.0557717803	-0.0078625909	-0.0170763023	0.0339936305	-0.0675916015	-0.0294075468	0	0	0	0	0	0	0	0	0	0	0	0
