"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.000148002	0.000523393	0.0135072	0.00015098	0.000102151	-0.000155302	7.78900000000002e-06	-0.033403407	0.0366129	0.001006172	-0.000254967	0	0.133081046	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	0.008669594	0.0229262205	0.005497453	0.0098401273	-0.0185759433	-0.0311971846	-0.0646455302	0	0	0	0	0	0
-0.000139533	0.0610363	0.00630256	0.00015098	0.000120815	0.000235415	8.46900000000002e-06	0.060512907	-0.00720464	0	1.8664e-05	0.000390717	0.088195066	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	0.0051207414	0.020931578	-0.0026685609	-0.0687639184	-0.0065890286	0.0306335447	-0.0818609337	0	0	0	0	0	0
-7.48396e-05	0.0629607	0.0134175	0.000787444	0.000507677	0.000458329	6.46934e-05	0.00192439999999999	0.00711494	0.000636464	0.000386862	0.000222914	0.0714160334	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	0.0196573284	0.0203275092	-0.0253567399	-0.0133615324	-0.0544486433	0.0354769774	0.001952841	0	0	0	0	0	0
-0.0106389	-0.0143276	0.0513525	-0.000260513	0.000262361	0.000521617	-0.0105640604	-0.0772883	0.037935	-0.001047957	-0.000245316	6.32879999999999e-05	0.1936154104	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	0.0003033786	0.0364727512	-0.005094428	-0.0357372091	0.0169891194	-0.0882266456	-0.0406657205	0	0	0	0	0	0
-0.0157016	0.02861	0.0988696	0.00015098	-6.10203e-05	0.00046401	-0.0050627	0.0429376	0.0475171	0.000411493	-0.0003233813	-5.76069999999999e-05	0.135141465	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	0.014841478	0.0418257764	-0.0006403802	-0.0450976117	-0.0005351205	-0.0220602361	-0.0698792343	0	0	0	0	0	0
-0.0137077	0.0340381	0.0988686	-0.000193955	-0.00025492	0.000117658	0.0019939	0.00542809999999999	-1.000000000001e-06	-0.000344935	-0.0001938997	-0.000346352	0.051682335	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	0.0147955524	0.0615895286	-0.0233585892	-0.0364159395	-0.0388888112	0.0182030648	-0.0035221229	0	0	0	0	0	0
-0.0189338	0.0264725	0.108667	0.000447895	-0.000274167	-0.000155302	-0.0052261	-0.00756559999999999	0.0097984	0.00064185	-1.9247e-05	-0.00027296	0.06929295	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	0.0171979507	0.066075141	-0.0368498686	-0.0076419442	-0.0532817781	-0.0150992832	0.0069637112	0	0	0	0	0	0
-0.0189601	0.0637975	0.0797275	0.000446117	-6.10203e-05	-0.000155302	-2.62999999999999e-05	0.037325	-0.0289395	-1.77800000000002e-06	0.0002131467	0	0.077037035	0.0520108938	0.0509138886	0.0491026536	0.0466025972	0.0434487905	0.0396854757	0.0353654455	0.030549302	0.025304607	0.0197049341	0.0138288366	0.0077587455	0.0015798132	-0.004621281	-0.010757547	-0.016742904	-0.0224933884	-0.0279283311	-0.0329714899	-0.0375521182	-0.0416059582	0.0143740404	0.0547354304	-0.0217490816	0.0355976419	-0.0516825128	-0.0023455196	-0.0043831484	0	0	0	0	0	0
-0.0189287	0.0210142	0.117175	0.000708314	-0.000354476	-0.000155302	3.14000000000009e-05	-0.0427833	0.0374475	0.000262197	-0.0002934557	0	0.108044835	0.0519837232	0.0508059967	0.048862844	0.0461835398	0.0428084497	0.0387884217	0.0341840202	0.0290646136	0.0235073292	0.0175958911	0.0114193591	0.0050707869	-0.0013541801	-0.0077587455	-0.0140464202	-0.0201224762	-0.0258953737	-0.03127814	-0.0361896802	-0.0405559987	-0.044311314	0.0199546461	0.0750162818	-0.0401066699	0.0108994971	-0.0649316577	-0.0325419422	-0.0107242788	0	0	0	0	0	0
-0.0189335	0.0741359	0.0835695	0.000489046	-0.000518476	-0.000674525	-4.80000000000272e-06	0.0531217	-0.0336055	-0.000219268	-0.000164	-0.000519223	0.13185655	0.0519555872	0.0506943307	0.0486148674	0.0457507597	0.0421482344	0.0378654364	0.0329714899	0.0275453833	0.021674694	0.015454175	0.0089842256	0.0023692706	-0.0042839244	-0.0108679768	-0.01727662	-0.0234064185	-0.0291584371	-0.0344398384	-0.0391653804	-0.0432587929	-0.0466540082	0.013233974	0.0623504375	-0.0343190915	0.0272514067	-0.0620647183	-0.0425606747	-0.0252573926	0	0	0	0	0	0
-0.0189256	0.0273112	0.080371	0.000661121	-0.000716719	-0.000674524	7.90000000000513e-06	-0.0468247	-0.00319850000000001	0.000172075	-0.000198243	1.00000000012417e-09	0.06854705	0.0519264863	0.0505788988	0.0483587652	0.0453043854	0.0414684511	0.0369171367	0.0317289578	0.0259934166	0.0198094581	0.0132837629	0.0065289069	-0.0003385804	-0.0072002268	-0.0139376608	-0.0204346535	-0.0265791242	-0.0322650733	-0.0373944116	-0.0418786518	-0.0456404355	-0.0486148674	0.0156543452	0.0644215306	-0.0225426974	-0.0003240058	-0.0535903303	-0.0206192225	-0.054627527	0	0	-0.380374703292263	-1.08091270754883	-2.22840312389761	-1.68540061352814
-0.0189336	0.056819	0.0599121	5.70864e-05	-0.000637705	-0.000927787	-8.00000000000106e-06	0.0295078	-0.0204589	-0.0006040346	7.9014e-05	-0.000253263	0.09679028	0.051896421	0.0504597097	0.0480945804	0.0448445497	0.0407694154	0.0359441567	0.0304575546	0.024410558	0.0179144269	0.0110886847	0.0040589197	-0.0030455261	-0.0100939368	-0.0169566271	-0.0235073292	-0.0296255153	-0.0351986159	-0.0401240904	-0.044311314	-0.0476832451	-0.050177843	0.0042003239	0.0538850563	-0.0210394235	-0.0970083635	-0.0082267232	-0.0035506786	-0.0751985165	0	0	-1.27014591083183	-1.28774394727322	-2.22840312389761	-1.68540061352814
