"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0177151	0.0208217	-0.0146515	0.000325893	-4.42146e-05	2.88214e-05	-0.0033748	-0.0315357	0.0143585	-0.000318437	-0.0001783396	-3.13416e-05	0.07567491	0.0520108938	0.0509138886	0.0491026536	0.0466025972	0.0434487905	0.0396854757	0.0353654455	0.030549302	0.025304607	0.0197049341	0.0138288366	0.0077587455	0.0015798132	-0.004621281	-0.010757547	-0.016742904	-0.0224933884	-0.0279283311	-0.0329714899	-0.0375521182	-0.0416059582	-0.008986899	0.0143633164	-0.0072072295	0.0010411049	0.0025951369	0.0297403556	0.0416913657	-0.0252531348	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0177077	0.0118861	-0.0212398	0.000791571	0.000329597	-0.00017565	7.39999999999769e-06	-0.0089356	-0.0065883	0.000465678	0.0003738116	-0.0002044714	0.06772935	0.0519837232	0.0508059967	0.048862844	0.0461835398	0.0428084497	0.0387884217	0.0341840202	0.0290646136	0.0235073292	0.0175958911	0.0114193591	0.0050707869	-0.0013541801	-0.0077587455	-0.0140464202	-0.0201224762	-0.0258953737	-0.03127814	-0.0361896802	-0.0405559987	-0.044311314	-0.0056874076	0.0169435689	-0.006446087	0.0120281375	-0.0416516729	-0.0297059694	-0.0189344406	-0.0478249902	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0207359	0.0606578	-0.0123573	0.000303268	4.72726e-05	-0.000425127	-0.0030282	0.0487717	0.0088825	-0.000488303	-0.0002823244	-0.000249477	0.11168762	0.0519555872	0.0506943307	0.0486148674	0.0457507597	0.0421482344	0.0378654364	0.0329714899	0.0275453833	0.021674694	0.015454175	0.0089842256	0.0023692706	-0.0042839244	-0.0108679768	-0.01727662	-0.0234064185	-0.0291584371	-0.0344398384	-0.0391653804	-0.0432587929	-0.0466540082	-0.0041219894	0.0325439448	-0.020040066	0.0101592908	0.0044276652	-0.0066640437	-0.060974923	0.0023233192	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00720573	0.0421218	0.0174674	0.000662637	-0.000123017	0.000264425	0.02794163	-0.018536	0.0298247	0.000359369	-0.0001702896	0.000689552	0.13726286	0.0519264863	0.0505788988	0.0483587652	0.0453043854	0.0414684511	0.0369171367	0.0317289578	0.0259934166	0.0198094581	0.0132837629	0.0065289069	-0.0003385804	-0.0072002268	-0.0139376608	-0.0204346535	-0.0265791242	-0.0322650733	-0.0373944116	-0.0418786518	-0.0456404355	-0.0486148674	-0.0005635442	0.0327989111	-0.0304431454	-0.0052450689	0.0348119499	0.0215834066	-0.0129377664	-0.0008538419	0	0	0	0	0	0	0	0	0	-1.73055635693617	-1.75211916401208	-2.22840312389761	-1.68540061352814
0.0059521	0.0682062	0.00397958	0.000371066	4.72726e-05	0.000338488	-0.00125363	0.0260844	-0.01348782	-0.000291571	0.0001702896	7.4063e-05	0.06762203	0.051896421	0.0504597097	0.0480945804	0.0448445497	0.0407694154	0.0359441567	0.0304575546	0.024410558	0.0179144269	0.0110886847	0.0040589197	-0.0030455261	-0.0100939368	-0.0169566271	-0.0235073292	-0.0296255153	-0.0351986159	-0.0401240904	-0.044311314	-0.0476832451	-0.050177843	-0.005388107	0.04335878	-0.0203072594	-0.0095239249	0.052360137	0.0184211032	0.0524345412	-0.0428138399	0	0	0	0	0	0	0	0	0	-0.264572536144127	-1.14298570443982	-2.22840312389761	-1.68540061352814
0.00096607	0.0235952	0.0174978	0.00140497	0.000297273	0.000427272	-0.00498603	-0.044611	0.01351822	0.001033904	0.0002500004	8.8784e-05	0.13174967	0.051865392	0.0503367722	0.0478223571	0.044371389	0.0400514517	0.0349471469	0.0291584371	0.0227986886	0.0159924506	0.0088730165	0.0015798132	-0.0057443291	-0.0129559745	-0.0199138901	-0.0264818121	-0.0325311144	-0.0379433273	-0.0426124582	-0.0464470668	-0.0493720561	-0.0513301431	0.0012493261	0.0325144752	-0.0145004203	0.0354278276	-0.0396590672	-0.0286411731	-0.0200523968	-0.0536245924	0	0	0	0	0	0	0	0	0	-0.197446070710621	-1.1272811059612	-2.22840312389761	-1.68540061352814
0.00384429	0.0676805	0.0173549	0.000776435	4.72726e-05	0.000250605	0.00287822	0.0440853	-0.000142899999999998	-0.000628535	-0.0002500004	-0.000176667	0.09986654	0.0518333998	0.0502100954	0.0475421407	0.043885044	0.0393148935	0.0339267737	0.0278327876	0.0211597241	0.0140464202	0.0066408724	-0.0009028426	-0.0084277735	-0.0157773596	-0.0227986886	-0.0293456776	-0.0352821126	-0.0404844828	-0.0448445497	-0.0482715996	-0.0506943307	-0.0520623368	0.0007043461	0.0596694246	-0.0318106316	0.0187828301	0.0203352791	-0.0206341976	-0.0797693004	-0.015475664	0	0	0	0	0	0	0	0	0	0.143180447950853	-1.30665579866475	-2.22840312389761	-1.68540061352814
-0.0218639	0.0211412	0.0288217	0.0012182	4.72726e-05	0.000249203	-0.02570819	-0.0465393	0.0114668	0.000441765	0	-1.40200000000001e-06	0.10587264	0.0518004449	0.0500796887	0.0472539781	0.0433856593	0.0385600826	0.0328837193	0.0264818121	0.0194956122	0.0120792627	0.0043963972	-0.0033834701	-0.0110886847	-0.0185492395	-0.0256005252	-0.0320869629	-0.0378654364	-0.0428084497	-0.0468069407	-0.049772687	-0.0516402525	-0.0523684314	0.0032732556	0.0439685303	-0.0311238699	-0.0058841924	0.0366870887	0.037506369	-0.0272710307	-0.0038096293	0	0	0	0	0	0	0	0	0	-0.519957300384116	-1.39824731345061	-2.22840312389761	-1.68540061352814
-0.0223408	0.0646158	-0.00684112	0.000947934	-3.84086e-05	2.4211e-05	-0.000476899999999995	0.0434746	-0.03566282	-0.000270266	-8.56812e-05	-0.000224992	0.10866128	0.051766528	0.0499455618	0.0469579174	0.0428733831	0.0377873696	0.0318186811	0.0251067401	0.0178083308	0.0100939368	0.0021437585	-0.0058564958	-0.0137199483	-0.0212629165	-0.0283092043	-0.0346942175	-0.0402688086	-0.0449027607	-0.0484878293	-0.050940271	-0.0522027989	-0.0522459219	-0.0052341554	0.0439513895	-0.0232842842	-0.0069152808	0.0372039918	0.0385653252	0.0324506468	-0.0333483934	0	0	0	0	0	0	0	0	0	-0.91044886702482	-1.0036913577913	-2.22840312389761	0.592443852028073
-0.0284656	0.0535779	-0.0480205	0.000679593	-0.000110045	-0.000425127	-0.0061248	-0.0110379	-0.04117938	-0.000268341	-7.16364e-05	-0.000449338	0.09780785	0.0517316498	0.0498077248	0.0466540082	0.0423483678	0.0369971132	0.030732371	0.0237088227	0.016099885	0.0080934286	-0.0001128608	-0.0083163637	-0.016314529	-0.0239098759	-0.0309148693	-0.0371565505	-0.0424808075	-0.0467561802	-0.0498771065	-0.051766528	-0.0523777937	-0.0516958108	-0.0111339974	0.0103261099	-0.0017271665	0.0179160634	-0.0351297851	-0.0024186123	0.0120881014	-0.0443374566	0	0	0	0	0	0	0	0	0	-0.710799131679954	-0.590020067271829	-2.22840312389761	-1.68540061352814
