"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.00209851	-8.6842e-05	0.00590326	0.000174492	0.000211808	5.50208e-06	0.01907719	2.201e-05	4.177e-05	-0.000222723	-9.5159e-05	0.00046548808	0.058309474	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	0.0465412785	-0.0102894479	0.0304526437	-0.028830322	-0.0190583456	0.0569642698	0.0299330132	-0.0104662882	-0.0365059674	0.0212687854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00933551000000001	-4.53223e-05	0.00591012	0.000697073	-0.000265294	4.64067e-06	0.01143402	4.15197e-05	6.86000000000003e-06	0.000522581	-0.000477102	-8.61410000000001e-07	0.0615096202	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	0.0416471394	-0.0046520993	0.024524267	-0.0288121812	0.0019700142	0.0521341576	0.0664397917	-0.0061688244	0.0056594982	0.0177386475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0215353	0.01465	0.0331064	-0.00102328	-0.000265294	4.64067e-06	0.01219979	0.0146953223	0.02719628	-0.001720353	0	0	0.1401090423	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	0.0314775417	-0.009665155	0.0250728925	-0.0263893705	0.0183846758	0.0423019761	0.0426333487	0.0001820658	-0.0088189975	0.0477011731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.017366	-7.86182e-05	0.0117578	-0.000288124	-0.000149785	4.64067e-06	-0.0041693	-0.0147286182	-0.0213486	0.000735156	0.000115509	0	0.0827797682	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	0.0412498492	-0.0063333533	0.0221555687	-0.0258543031	0.012294735	0.0464133828	0.03964093	0.0007833886	-0.0191364982	0.0303337329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0167625	0.0196552	0.011732	-0.00091551	-0.000265294	0.00019202	-0.0006035	0.0197338182	-2.57999999999994e-05	-0.000627386	-0.000115509	0.00018737933	0.0668768347	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	0.0484698914	-0.0047389888	0.0070693527	-0.0068174419	0.0069323609	0.0376151731	0.0769676588	-0.0121361689	-0.0047961046	0.0171384194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0195361	0.0129092	0.0194921	-0.000405396	-0.000265294	0.000185123	0.0027736	-0.006746	0.0077601	0.000510114	0	-6.89700000000001e-06	0.04313025	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	0.0354214703	-0.0031240888	-0.000894268	0.0210263888	0.0195160442	0.0142074687	0.0568475444	-0.0004414492	-0.0071550532	0.0409246931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0195391	0.0229002	0.0117787	8.11506e-06	-0.000265295	-6.54807e-05	2.99999999999953e-06	0.009991	-0.0077134	0.00041351106	-9.99999999961535e-10	-0.0002506037	0.050913188	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	0.0308833836	0.0027648461	-0.017735123	0.0450711274	0.0207616953	-0.0003017149	0.0675406569	-0.0017897752	-0.0240203703	0.0187954891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0195413	0.0349973	0.0117782	-0.00033493	-0.000129021	-6.54807e-05	2.19999999999734e-06	0.0120971	-5.000000000005e-07	-0.00034304506	0.000136274	0	0.036065753	0.0520108938	0.0509138886	0.0491026536	0.0466025972	0.0434487905	0.0396854757	0.0353654455	0.030549302	0.025304607	0.0197049341	0.0138288366	0.0077587455	0.0015798132	-0.004621281	-0.010757547	-0.016742904	-0.0224933884	-0.0279283311	-0.0329714899	-0.0375521182	-0.0416059582	0.0187569171	0.0071678644	-0.0215889825	0.0507973707	0.0240721947	-0.0047664968	0.0567880387	-0.0009531256	-0.0116163047	-0.0024598037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0219149	0.0154265	0.000334031	-0.00051985	-2.1047e-05	-6.54807e-05	0.0023736	-0.0195708	-0.011444169	-0.00018492	0.000107974	0	0.048033269	0.0519837232	0.0508059967	0.048862844	0.0461835398	0.0428084497	0.0387884217	0.0341840202	0.0290646136	0.0235073292	0.0175958911	0.0114193591	0.0050707869	-0.0013541801	-0.0077587455	-0.0140464202	-0.0201224762	-0.0258953737	-0.03127814	-0.0361896802	-0.0405559987	-0.044311314	0.0080749957	0.0079596566	-0.0292016102	0.0760457092	0.029388674	-0.024673299	0.0633717118	0.0051718476	-0.0452761806	0.0177080948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0195425	-3.69713e-05	-0.00575031	-0.000188839	-0.000110408	-6.54807e-05	-0.0023724	-0.0154634713	-0.006084341	0.000331011	-8.9361e-05	0	0.0449388123	0.0519555872	0.0506943307	0.0486148674	0.0457507597	0.0421482344	0.0378654364	0.0329714899	0.0275453833	0.021674694	0.015454175	0.0089842256	0.0023692706	-0.0042839244	-0.0108679768	-0.01727662	-0.0234064185	-0.0291584371	-0.0344398384	-0.0391653804	-0.0432587929	-0.0466540082	-0.0212601135	0.0269244974	-0.0223164293	-0.0125110773	0.0472209076	-0.0412604836	0.0534813468	-0.0155712193	0.0206003054	-0.0133171929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
