"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"motion_outlier19"	"motion_outlier20"	"motion_outlier21"	"motion_outlier22"	"motion_outlier23"	"motion_outlier24"	"motion_outlier25"	"motion_outlier26"	"motion_outlier27"	"motion_outlier28"	"motion_outlier29"	"motion_outlier30"	"motion_outlier31"	"motion_outlier32"	"motion_outlier33"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0144921	-0.00474993	0.012967	4.69762e-05	0.000627193	-0.000264079	-0.00850142	-0.0103467	0.0256037	-0.0002947388	7.00020000000001e-05	-0.000154579	0.07041781	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	-0.0056888183	-0.0062344367	0.0148293433	0.0076837073	-0.0004471189	0.0208932433	-0.0005183973	0.0070014445	0.0039458279	-0.0032873809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00916547	-0.00265788	0.0129626	0.000369963	0.000811009	-0.000264079	0.00532663	0.00209205	-4.39999999999816e-06	0.0003229868	0.000183816	0	0.03276322	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	-0.0025463199	-0.0035025359	0.0012835805	-0.0053139805	-0.0149598354	0.002023824	-0.000335471	0.0055314796	-0.0039491032	-0.0049293171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00473541	0.00571308	-0.0136546	0.00069942	0.000557191	-4.39596e-06	0.00443006	0.00837096	-0.0266172	0.000329457	-0.000253818	0.00025968304	0.081566122	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	-0.0016290892	-0.0009671737	-0.0039220884	0.0114116073	0.0196653822	0.0068719241	0.0061277394	-0.0062257867	0.0018343201	0.0041027606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0088473	0.0148483	0.00404876	-1.80675e-05	0.000557191	2.57292e-05	-0.00411189	0.00913522	0.01770336	-0.0007174875	0	3.012516e-05	0.068331103	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	-0.0021582522	0.010924132	0.0093291345	0.0100620872	0.0022265644	0.0123535478	-0.0008283883	0.0002736583	0.0192545297	0.0145917407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0043184	0.00828949	0.00708417	0.000227131	0.000350309	3.81361e-05	0.0045289	-0.00655881	0.00303541	0.0002451985	-0.000206882	1.24069e-05	0.03734749	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	-0.0045297152	0.0039297721	0.0056430402	-0.008148025	-0.013152898	0.0066761393	-0.0011188609	0.0042404368	0.0035624898	0.0047185069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00659321	-0.00268073	-0.0194601	0.000429084	0.000100088	-0.000264079	0.01091161	-0.01097022	-0.02654427	0.000201953	-0.000250221	-0.0003022151	0.086145555	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	0.0030635891	0.0150013594	0.0190960208	0.0161867452	-0.0211262383	0.0037562701	0.0009205684	0.0009676902	0.0026480859	0.0050927328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00659321	0.0203541	-0.031483	-0.000376772	0.000100088	-0.000264079	0	0.02303483	-0.0120229	-0.000805856	0	0	0.07535053	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	0.0072570073	0.0140011012	0.0131926428	0.0116946117	-0.0344609932	0.0070600738	0.0050343541	0.0121564654	0.0115129365	0.0327227894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00658599	0.0186698	-0.0308007	-0.000301796	-9.35617e-05	-0.000264079	-7.22000000000049e-06	-0.0016843	0.000682299999999997	7.4976e-05	-0.0001936497	0	0.015805105	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	0.0088630048	0.0151970667	0.002883053	-0.0026317891	-0.0544131983	-0.0189616739	0.0132987409	0.0214834624	0.01118297	0.023173336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0227501	-0.00267584	-0.0194506	-0.000167455	0.000100088	0.000286574	0.01616411	-0.02134564	0.0113501	0.000134341	0.0001936497	0.000550653	0.092792035	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	0.0024322663	0.0043004296	-0.0687992288	-0.0080806655	-0.0296709121	-0.0492283664	0.0327986667	0.017379841	-0.0009276786	0.0280467204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0144227	-0.00267058	-0.0419936	-0.000188587	-0.000270994	0.000163728	-0.0083274	5.25999999999999e-06	-0.022543	-2.1132e-05	-0.000371082	-0.000122846	0.05662866	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	0.0073552656	0.0110354738	-0.0862456243	0.014618412	-0.0266838814	-0.0631179887	0.0348983657	0.0028624311	-0.0142344003	0.0320006076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
