"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.00125632	0.00508357	-0.0332616	-8.98469e-06	0.00021201	-0.000211062	-0.02245928	-4.02800000000002e-05	-3.15999999999927e-05	0.00071114031	-0.0001011	-0.0002864323	0.0774647905	0.0510689819	0.0502805367	0.0489754657	0.0471671784	0.0448742547	0.042120254	0.0389334734	0.0353466565	0.0313966575	0.0271240621	0.0225727706	0.0177895469	0.012823538	0.007725769	0.0025486187	-0.0026547183	-0.0078307784	-0.0129263783	-0.0178891614	-0.0226681358	-0.0272141981	-0.0314806383	0.0014920457	0.010279983	-0.0360370038	-0.0211558335	-0.0697345164	-0.0721962514	-0.0104974158	0.0014586742	-0.0016643385	-0.02277605	0	0	0	0	0	0	0	0	0	0
0.0204913	0.0272115	0.00564354	-0.000952931	0.000335291	-0.000211062	0.01923498	0.02212793	0.03890514	-0.00094394631	0.000123281	0	0.1336294155	0.051047035	0.0501932186	0.048780754	0.046825362	0.0443488058	0.0413786495	0.0379479508	0.0340948932	0.029862361	0.0252974622	0.0204510037	0.0153769266	0.0101317049	0.0047737179	-0.0006374004	-0.0060414244	-0.0113782077	-0.016588352	-0.0216138688	-0.0263988242	-0.030889962	-0.0350372959	-0.0169534857	0.0263351329	-0.0399613862	-0.0175771115	-0.0421028773	-0.0664668362	-0.0205227791	-0.0284731279	0.0367725511	-0.023837944	0	0	0	0	0	0	0	0	0	0
0.0237122	0.0157768	-0.0392235	-0.00120293	0.00038321	-0.000211062	0.00322090000000001	-0.0114347	-0.04486704	-0.000249999	4.7919e-05	0	0.07441854	0.0510242134	0.0501024608	0.0485785209	0.0464707102	0.0438043627	0.0406115256	0.0369305738	0.0328057493	0.0282866287	0.0234275279	0.018286849	0.0129263783	0.007410544	0.0018056415	-0.0038209632	-0.0094016433	-0.0148693239	-0.0201582885	-0.0252049683	-0.0299487067	-0.0343324881	-0.0383036235	-0.0158027792	0.0347404641	-0.0302994532	-0.0372215099	-0.0030065252	-0.0229573392	-0.023326588	-0.0452954399	0.0029041343	0.0203952271	0	0	0	0	0	0	0	0	0	0
0.0113273	0.0186088	0.000223034	-0.000210931	0.000138806	-0.000337501	-0.0123849	0.002832	0.039446534	0.000991999	-0.000244404	-0.000126439	0.122805534	0.0510005177	0.0500082695	0.0483687975	0.0461033203	0.0432411585	0.0398193552	0.0358821964	0.0314806383	0.0266716472	0.0215174627	0.016084792	0.0104439465	0.004667932	-0.0011684964	-0.0069898018	-0.0127206428	-0.018286849	-0.0236163807	-0.0286402612	-0.03329347	-0.0375157835	-0.0412525551	-0.0069396107	0.0133958269	-0.0466750805	-0.0230952197	-0.0085175297	-0.0654161151	0.0085889526	-0.0281287769	0.0205183534	-0.0141868869	0	0	0	0	0	0	0	0	0	0
0.0237228	0.0295957	-0.049145	-0.001419	0.000624554	-0.000211062	0.0123955	0.0109869	-0.049368034	-0.001208069	0.000485748	0.000126439	0.163763234	0.0509759483	0.0499106512	0.0481516161	0.0457232929	0.0426594344	0.0390026269	0.0348036986	0.0301210128	0.0250196571	0.0195705382	0.0138493968	0.0079357543	0.001911808	-0.0041387117	-0.0101317049	-0.0159838716	-0.0216138688	-0.026943442	-0.0318985121	-0.0364102058	-0.0404158122	-0.0438596552	-0.0361268378	0.0307013925	-0.0226624544	-0.0473776002	0.0438055374	0.0378520134	-0.0370840715	-0.0734724307	0.0008038719	0.0359588943	0	0	0	0	0	0	0	0	0	0
0.0236921	0.00329792	-0.0783808	-0.000270001	0.000275284	-0.000211062	-3.06999999999981e-05	-0.02629778	-0.0292358	0.001148999	-0.00034927	0	0.13047773	0.0509505055	0.0498096126	0.0479270103	0.0453307324	0.0420594396	0.0381618445	0.0336959856	0.0287283636	0.0233329509	0.0175900897	0.0115852966	0.0054079881	-0.0008498502	-0.0070950334	-0.0132345652	-0.0191770227	-0.0248339173	-0.0301210128	-0.0349595797	-0.0392775675	-0.0430106775	-0.0461033203	-0.019712853	0.0087911681	-0.0412747538	-0.0448075589	-0.011968529	-0.0407631815	-0.0193075228	0.0068813712	-0.0272297852	0.0241784121	0	0	0	0	0	0	0	0	0	0
0.0191596	0.018381	-0.0484687	-0.000470588	0.000342929	-0.000211062	-0.0045325	0.01508308	0.0299121	-0.000200587	6.7645e-05	0	0.06293928	0.0509241898	0.0497051606	0.0476950147	0.0449257461	0.041441431	0.0372975264	0.0325599874	0.0273042176	0.0216138688	0.0155795096	0.0092971841	0.0028668829	-0.0036090482	-0.010027537	-0.0162864257	-0.0222860966	-0.0279310578	-0.0331314631	-0.0378045419	-0.0418759166	-0.0452807864	-0.0479649587	-0.0167499473	0.0240304651	-0.0517370858	-0.0426111437	-0.0180240696	-0.0360170684	0.0030365179	-0.04432977	-0.0052046716	0.0020995338	0	0	0	0	0	0	-0.380374703292263	-1.08091270754883	-2.22840312389761	-1.68540061352814
0.0237121	0.0143869	-0.0550999	-0.00100342	0.000302814	-0.000211062	0.0045525	-0.0039941	-0.0066312	-0.000532832	-4.0115e-05	0	0.04382515	0.0508970017	0.0495973023	0.0474556651	0.0445084453	0.0408056734	0.0364102058	0.0313966575	0.0258501361	0.0198647963	0.013542242	0.0069898018	0.0003187063	-0.0063577993	-0.0129263783	-0.0192755259	-0.0252974622	-0.030889962	-0.03595809	-0.0404158122	-0.0441874568	-0.0472089983	-0.0494291445	-0.0255517774	0.0090594843	-0.0314834244	-0.0504087718	0.0538423851	0.0534989645	-0.0307433869	-0.0639465636	-0.0013061199	-0.0035199275	0	0	0	0	0	0	-1.27014591083183	-1.28774394727322	-2.22840312389761	-1.68540061352814
0.0169208	0.0109668	-0.00408076	-0.00100342	0.000220296	-0.000311378	-0.0067913	-0.0034201	0.05101914	0	-8.2518e-05	-0.000100316	0.07037224	0.0508689416	0.0494860452	0.0472089983	0.0440789442	0.040152439	0.0355004298	0.0302069725	0.0243677133	0.0180881602	0.0114817767	0.004667932	-0.0022302563	-0.0090881467	-0.0157818258	-0.0221903471	-0.0281979168	-0.0336959856	-0.0385852104	-0.042777249	-0.0461963565	-0.048780754	-0.0504837447	-0.0127189874	0.0108717572	-0.0050864962	-0.01810285	0.0716611296	0.0835886418	-0.0446100171	-0.0263535752	0.0109219351	0.0272838122	0	0	0	0	0	0	-1.72108836539445	-1.30444164896667	-2.22840312389761	-1.68540061352814
0.0330845	0.00190158	-0.00409956	-0.00143122	0.000220296	-0.000140612	0.0161637	-0.00906522	-1.88000000000002e-05	-0.0004278	0	0.000170766	0.05517602	0.05084001	0.0493713969	0.0469550524	0.0436373605	0.0394820076	0.0345687596	0.0289919311	0.0228585745	0.0162864257	0.0094016433	0.0023363873	-0.0047737179	-0.011792187	-0.0185842938	-0.0250196571	-0.0309747441	-0.0363352411	-0.0409982483	-0.0448742547	-0.0478888566	-0.0499841859	-0.0511200208	-0.01798941	0.0043573308	0.0043666359	-0.0066794945	-0.0155252908	0.0376352561	0.0011396616	0.0188228321	-0.0434024058	0.0163280229	0	0	0	0	0	0	-1.94040207786486	-1.30946970887924	-2.22840312389761	-1.68540061352814
0.0281736	-0.0315488	0.020298	-0.00149979	0.000220296	-0.000211062	-0.0049109	-0.03345038	0.02439756	-6.857e-05	0	-7.045e-05	0.06970984	0.0508102074	0.0492533652	0.0466938665	0.0431838154	0.0387946664	0.0336157698	0.027752553	0.0213243743	0.0144620929	0.0073054049	0	-0.0073054049	-0.0144620929	-0.0213243743	-0.027752553	-0.0336157698	-0.0387946664	-0.0431838154	-0.0466938665	-0.0492533652	-0.0508102074	-0.0513327002	0.0035797889	0.0119693855	0.0223971023	0.0228915484	-0.0307952121	0.0040305994	0.0584278644	0.0130468287	-0.0321763177	-0.0282983427	0	0	0	0	0	0	-1.8639743861055	-1.31045519011602	-2.22840312389761	-1.68540061352814
0.0339258	-0.0292699	0.0202185	-0.00192753	0.000156002	1.26349e-05	0.00575220000000001	0.0022789	-7.94999999999997e-05	-0.00042774	-6.4294e-05	0.0002236969	0.043897145	0.0507795342	0.0491319582	0.046425481	0.0427184332	0.0380907096	0.032642048	0.0264898788	0.0197667948	0.0126176931	0.0051966525	-0.0023363873	-0.0098190728	-0.0170901359	-0.0239928691	-0.0303785035	-0.0361094147	-0.0410620891	-0.0451297856	-0.0482248365	-0.0502805367	-0.0512525814	-0.0511200208	-0.0009939726	0.0133131347	0.0493622048	0.0295344538	0.0475463038	0.0717739662	0.005751339	0.0220237634	-0.018788634	-0.025955265	0	0	0	0	0	0	-1.269730985461	-1.30552401864244	-2.22840312389761	0.592443852028073
0.0325934	-0.0391441	0.0386115	-0.00192753	4.31421e-05	9.96171e-05	-0.0013324	-0.00987419999999999	0.018393	0	-0.0001128599	8.69822e-05	0.039591705	0.0507479912	0.0490071843	0.0461499372	0.0422413413	0.0373704389	0.0316481948	0.0252049683	0.0181875435	0.0107557855	0.0030789983	-0.004667932	-0.0123085215	-0.0196687086	-0.0265808199	-0.0328873894	-0.0384447462	-0.0431262874	-0.046825362	-0.0494577007	-0.050963336	-0.0513079677	-0.0504837447	-0.0028173851	0.0093776015	0.0321756165	0.0232565632	-0.0212942339	0.0043864855	-0.0144852901	0.0472724345	-0.0253614219	-0.0126656527	0	0	0	0	0	0	-0.819378014926554	-1.29582902680275	-2.22840312389761	-1.68540061352814
0.033712	-0.0482029	0.005105	-0.00119088	0.000220296	0.00022938	0.0011186	-0.00905880000000001	-0.0335065	0.00073665	0.0001771539	0.0001297629	0.09586224	0.0507155786	0.048879052	0.0458672776	0.0417526707	0.0366341627	0.0306348232	0.0238989001	0.016588352	0.0088789537	0.0009560698	-0.0069898018	-0.0147676106	-0.0221903471	-0.029079539	-0.0352695426	-0.0406115256	-0.0449770452	-0.048261137	-0.0503848382	-0.0512970867	-0.0509759483	-0.0494291445	0.0007620742	0.017975546	0.0128547209	0.0179720724	-0.0353352547	-0.0399067411	0.0285180854	0.0163250156	-0.0124600878	-0.0489122049	0	0	0	0	0	0	-0.070303873688766	-0.666333026623556	-2.22840312389761	0.592443852028073
