"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.000544454	0.0316268	0.0357294	-0.000382258	6.22985e-05	-0.000168165	0.004361174	0.02447651	0.04413535	-0.0004054761	0	0.000179707	0.102232189	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	0.0111167826	0.0736377361	0.0135479781	0.0071688994	-0.0476483205	-0.0236395476	0.0659066401	0.0655323748	0.0253084212	-0.0098446176	0	0	0	0	0	0	0
0.000597294	-0.0140976	0.00895211	-0.00159151	0.000334489	-0.000244833	5.28400000000001e-05	-0.0457244	-0.02677729	-0.001209252	0.0002721905	-7.6668e-05	0.150460055	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	0.0518456204	0.088158278	-0.0489507717	0.0532712591	-0.0162523529	-0.0914834671	0.0195698291	-0.054187758	-0.0495963574	0.0196962736	0	0	0	0	0	0	0
0.000525423	0.0338373	-0.0230605	-0.000114965	6.22985e-05	0.000280954	-7.1871e-05	0.0479349	-0.03201261	0.001476545	-0.0002721905	0.000525787	0.193745506	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	0.1023180001	0.0293049946	-0.0180924581	-0.0392291036	0.0311642469	-0.0737717682	-0.0263005555	-0.0168695574	-0.0482491021	-0.0363006279	0	0	0	0	0	0	0
0.000524246	0.0602791	0.0254742	-0.000364965	6.22985e-05	-0.000226903	-1.17699999999999e-06	0.0264418	0.0485347	-0.00025	0	-0.000507857	0.112870527	0.0520108938	0.0509138886	0.0491026536	0.0466025972	0.0434487905	0.0396854757	0.0353654455	0.030549302	0.025304607	0.0197049341	0.0138288366	0.0077587455	0.0015798132	-0.004621281	-0.010757547	-0.016742904	-0.0224933884	-0.0279283311	-0.0329714899	-0.0375521182	-0.0416059582	0.0442387919	0.0451565363	0.0803921622	0.0020217117	0.0825080406	-0.0356273194	0.02296118	0.042076006	-0.0561834953	-0.0777232256	0	0	0	0	0	0	0
0.000534487	0.0150687	0.00831075	0.000353528	0.000163634	-0.000420222	1.02409999999999e-05	-0.0452104	-0.01716345	0.000718493	0.0001013355	-0.000193319	0.113041466	0.0519837232	0.0508059967	0.048862844	0.0461835398	0.0428084497	0.0387884217	0.0341840202	0.0290646136	0.0235073292	0.0175958911	0.0114193591	0.0050707869	-0.0013541801	-0.0077587455	-0.0140464202	-0.0201224762	-0.0258953737	-0.03127814	-0.0361896802	-0.0405559987	-0.044311314	-0.0433474847	0.0324569898	-0.0052092571	0.0162507534	0.080162588	0.0052543031	-0.0134749484	-0.0372162448	0.0026848839	-0.0084226179	0	0	0	0	0	0	0
0.000548227	0.02777	-0.000252594	0.000462384	6.22985e-05	-0.000546494	1.374e-05	0.0127013	-0.008563344	0.000108856	-0.0001013355	-0.000126272	0.038101559	0.0519555872	0.0506943307	0.0486148674	0.0457507597	0.0421482344	0.0378654364	0.0329714899	0.0275453833	0.021674694	0.015454175	0.0089842256	0.0023692706	-0.0042839244	-0.0108679768	-0.01727662	-0.0234064185	-0.0291584371	-0.0344398384	-0.0391653804	-0.0432587929	-0.0466540082	0.0105871714	-0.0483354534	-0.0484370211	-0.0178606077	-0.006897869	0.0077091428	-0.0535276995	-0.0044364716	0.0091139873	0.0068535281	0	0	0	0	0	0	0
-0.00385445	0.0277786	0.0351758	0.000388056	6.22985e-05	-0.000270853	-0.004402677	8.60000000000097e-06	0.035428394	-7.43280000000001e-05	0	0.000275641	0.057338121	0.0519264863	0.0505788988	0.0483587652	0.0453043854	0.0414684511	0.0369171367	0.0317289578	0.0259934166	0.0198094581	0.0132837629	0.0065289069	-0.0003385804	-0.0072002268	-0.0139376608	-0.0204346535	-0.0265791242	-0.0322650733	-0.0373944116	-0.0418786518	-0.0456404355	-0.0486148674	0.0116595111	-0.0231049747	0.0353520047	0.0285685541	-0.0237938175	0.0134651137	0.0244911939	0.005257436	-0.0235355143	-0.0233416535	0	0	0	-0.380374703292263	-1.08091270754883	-2.22840312389761	-1.68540061352814
0.000520217	0.000483892	-0.0142652	0.00068307	-3.97928e-05	-0.000248032	0.004374667	-0.027294708	-0.049441	0.000295014	-0.0001020913	2.2821e-05	0.10210669	0.051896421	0.0504597097	0.0480945804	0.0448445497	0.0407694154	0.0359441567	0.0304575546	0.024410558	0.0179144269	0.0110886847	0.0040589197	-0.0030455261	-0.0100939368	-0.0169566271	-0.0235073292	-0.0296255153	-0.0351986159	-0.0401240904	-0.044311314	-0.0476832451	-0.050177843	-0.0414099075	0.0452624051	0.0124953781	-0.0282235783	0.0414537907	-0.0135728319	0.0176212092	-0.0498242531	0.0284047617	-0.0063018381	0	0	0	-1.27014591083183	-1.28774394727322	-2.22840312389761	-1.68540061352814
0.000487974	0.0277719	0.014594	-0.00134871	0.000507149	-1.56136e-05	-3.2243e-05	0.027288008	0.0288592	-0.00203178	0.0005469418	0.0002324184	0.196736461	0.051865392	0.0503367722	0.0478223571	0.044371389	0.0400514517	0.0349471469	0.0291584371	0.0227986886	0.0159924506	0.0088730165	0.0015798132	-0.0057443291	-0.0129559745	-0.0199138901	-0.0264818121	-0.0325311144	-0.0379433273	-0.0426124582	-0.0464470668	-0.0493720561	-0.0513301431	-0.0677774111	0.0091030975	-0.0353236406	-0.0128710081	-0.0041934037	0.0011354108	0.0135639431	0.0105706691	0.0359999974	-0.011308389	0	0	0	-1.72108836539445	-1.30444164896667	-2.22840312389761	-1.68540061352814
0.000505137	0.0278112	0.0310266	0.000155037	-7.95687e-05	-0.000513854	1.7163e-05	3.93000000000025e-05	0.0164326	0.001503747	-0.0005867177	-0.0004982404	0.145924318	0.0518333998	0.0502100954	0.0475421407	0.043885044	0.0393148935	0.0339267737	0.0278327876	0.0211597241	0.0140464202	0.0066408724	-0.0009028426	-0.0084277735	-0.0157773596	-0.0227986886	-0.0293456776	-0.0352821126	-0.0404844828	-0.0448445497	-0.0482715996	-0.0506943307	-0.0520623368	-0.0249372878	-0.0226130791	-0.0036240913	0.0767413439	-0.0354254853	0.0089556351	0.0477447741	0.0329509575	-0.0191385083	0.045944296	0	0	0	-1.94040207786486	-1.30946970887924	-2.22840312389761	-1.68540061352814
