"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.00357363	-0.00182841	0.00850804	-4.99137e-05	7.41308e-05	-5.18561e-05	-0.01656003	-0.01718561	0.04379234	-0.0002833587	-9.86252e-05	0.0002318019	0.10822727	0.051148017	0.0505952962	0.049678515	0.0484042702	0.0467817305	0.044822571	0.042540889	0.0399531023	0.0370778316	0.0339357659	0.030549514	0.026943442	0.0231434973	0.0191770227	0.0150725591	0.0108596403	0.0065685806	0.0022302563	-0.0021241158	-0.0064632038	-0.0107557855	-0.0149709736	-0.0225705692	0.0609286385	-0.0011626775	0.0062591402	0.0260938061	0.0330485957	0.0589162157	-0.0202830878	-0.0095593041	0.0159544432	0	0	0	0	0
-0.00358537	0.0130921	0.0085203	-0.000515671	0.000172756	2.72712e-05	-1.17400000000001e-05	0.01492051	1.226e-05	-0.0004657573	9.86252e-05	7.91273e-05	0.04712	0.0511295719	0.0505217943	0.0495141777	0.0481146965	0.0463344264	0.0441874568	0.0416907793	0.0388641531	0.0357299485	0.0323129704	0.0286402612	0.0247408876	0.0206457099	0.0163871381	0.0119988754	0.0075156513	0.002972947	-0.0015932859	-0.0061469092	-0.0106518847	-0.0150725591	-0.0193739464	-0.0375292845	-0.0069054554	0.0212860001	0.0203941042	-0.0634945475	0.0262365207	-0.0214364679	0.0172043829	0.0293343698	-0.0708212117	0	0	0	0	0
-0.00358851	0.00818992	0.00316433	-0.000515671	-3.25521e-05	2.72712e-05	-3.14e-06	-0.00490218	-0.00535597	0	-0.0002053081	0	0.020526695	0.0511102507	0.0504448302	0.0493422058	0.047811934	0.0458672776	0.0435250908	0.0408056734	0.0377325944	0.0343324881	0.0306348232	0.0266716472	0.0224773087	0.0180881602	0.013542242	0.0088789537	0.0041387117	-0.0006374004	-0.0054079881	-0.0101317049	-0.0147676106	-0.0192755259	-0.0236163807	-0.0318006737	0.0154202896	-0.0018488889	0.0058260105	0.0263953769	0.018496771	-0.0509585376	0.0007976831	-0.0119854454	0.0267889997	0	0	0	0	0
-0.00359728	0.0255842	-0.0208596	-0.000684661	-0.000160013	2.72712e-05	-8.76999999999996e-06	0.01739428	-0.02402393	-0.00016899	-0.0001274609	0	0.056249525	0.051090054	0.0503644092	0.0491626259	0.0474960658	0.0453804842	0.0428358815	0.0398863142	0.0365596669	0.0328873894	0.0289041989	0.024647752	0.0201582885	0.0154782512	0.0106518847	0.0057248166	0.0007436268	-0.004244593	-0.0091926851	-0.0140538708	-0.018782193	-0.0233329509	-0.0276631221	-0.0356194932	-0.0185421738	-0.0162857949	0.0634274313	0.0013192182	-0.0284841143	-0.0209372549	-0.0315047039	-0.0398206298	0.0219503848	0	0	0	0	0
0.00381751	0.0336579	-0.00715494	-0.000515671	-0.000353653	2.72712e-05	0.00741479	0.0080737	0.01370466	0.00016899	-0.00019364	0	0.04732465	0.0510689819	0.0502805367	0.0489754657	0.0471671784	0.0448742547	0.042120254	0.0389334734	0.0353466565	0.0313966575	0.0271240621	0.0225727706	0.0177895469	0.012823538	0.007725769	0.0025486187	-0.0026547183	-0.0078307784	-0.0129263783	-0.0178891614	-0.0226681358	-0.0272141981	-0.0314806383	-0.0236560923	-0.0299325241	0.046937701	-0.0330620391	0.031153701	-0.0455450469	-0.0148065252	0.0673288207	-0.001660643	0.0057683525	0	0	0	0	0
-0.00360421	0.0537496	-0.00715494	-0.000515671	-0.000353653	2.72712e-05	-0.00742172	0.0200917	0	0	0	0	0.02751342	0.051047035	0.0501932186	0.048780754	0.046825362	0.0443488058	0.0413786495	0.0379479508	0.0340948932	0.029862361	0.0252974622	0.0204510037	0.0153769266	0.0101317049	0.0047737179	-0.0006374004	-0.0060414244	-0.0113782077	-0.016588352	-0.0216138688	-0.0263988242	-0.030889962	-0.0350372959	-0.0089877172	0.0433043753	0.0268673189	0.0204487873	0.0372969903	0.0079998557	0.0443830372	-0.0211940475	-0.041167414	0.0348911125	0	0	0	0	0
-0.0125376	0.0199187	-0.0071504	-0.000765671	0.00040004	2.72712e-05	-0.00893339	-0.0338309	4.54000000000079e-06	-0.00025	0.000753693	0	0.09295348	0.0510242134	0.0501024608	0.0485785209	0.0464707102	0.0438043627	0.0406115256	0.0369305738	0.0328057493	0.0282866287	0.0234275279	0.018286849	0.0129263783	0.007410544	0.0018056415	-0.0038209632	-0.0094016433	-0.0148693239	-0.0201582885	-0.0252049683	-0.0299487067	-0.0343324881	-0.0383036235	0.0037873301	0.0128997873	0.079415362	0.0008335256	-0.0484167417	0.0114847504	-0.0086857485	0.0496364659	-0.029370591	-0.0755080634	0	0	0	0	0
-0.00359923	0.00253377	-0.0131805	-0.000515671	-8.90642e-05	2.72712e-05	0.00893837	-0.01738493	-0.0060301	0.00025	-0.0004891042	0	0.06930861	0.0510005177	0.0500082695	0.0483687975	0.0461033203	0.0432411585	0.0398193552	0.0358821964	0.0314806383	0.0266716472	0.0215174627	0.016084792	0.0104439465	0.004667932	-0.0011684964	-0.0069898018	-0.0127206428	-0.018286849	-0.0236163807	-0.0286402612	-0.03329347	-0.0375157835	-0.0412525551	-0.0194264357	0.049830475	0.0219292872	0.0209225911	0.0325263638	0.0716291101	-0.0543892904	-0.009677586	-0.0604684672	0.0110987863	0	0	0	0	0
-6.45574e-05	0.0158014	-0.079665	0.000606508	9.9724e-05	2.72712e-05	0.0035346726	0.01326763	-0.0664845	0.001122179	0.0001887882	0	0.1488351626	0.0509759483	0.0499106512	0.0481516161	0.0457232929	0.0426594344	0.0390026269	0.0348036986	0.0301210128	0.0250196571	0.0195705382	0.0138493968	0.0079357543	0.001911808	-0.0041387117	-0.0101317049	-0.0159838716	-0.0216138688	-0.026943442	-0.0318985121	-0.0364102058	-0.0404158122	-0.0438596552	0.0450124827	0.0112892221	0.0257418281	0.0973925083	-0.000894208	-0.0423590362	-0.0285954567	-0.0162208805	-0.0813213992	-0.0083219943	0	0	0	0	0
0.0273891	0.211557	-0.00967963	0.00343259	-8.90642e-05	0.000816154	0.0274536574	0.1957556	0.06998537	0.002826082	-0.0001887882	0.0007888828	0.4833822774	0.0509505055	0.0498096126	0.0479270103	0.0453307324	0.0420594396	0.0381618445	0.0336959856	0.0287283636	0.0233329509	0.0175900897	0.0115852966	0.0054079881	-0.0008498502	-0.0070950334	-0.0132345652	-0.0191770227	-0.0248339173	-0.0301210128	-0.0349595797	-0.0392775675	-0.0430106775	-0.0461033203	0.1038506389	-0.0012942594	0.0899231937	0.0338825155	-0.0209428075	0.0063207915	0.0827721392	0.0995951891	0.0105889688	-0.100398235	0	0	0	0	0
