"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0159948	-0.00831867	-0.0141249	-0.000556421	0.000377394	-5.29396e-23	-1.0599999999996e-05	0.03066513	0.0103626	-0.0005765033	-0.000248339	-5.29396e-23	0.082280445	0.0512842283	0.051138904	0.0508970017	0.0505589784	0.0501254723	0.0495973023	0.0489754657	0.048261137	0.0474556651	0.0465605712	0.0455775458	0.0445084453	0.0433552888	0.042120254	0.0408056734	0.0394140296	0.0379479508	0.0364102058	0.0348036986	0.0331314631	0.0313966575	0.0296025581	-0.0246777937	-0.0311483384	0.0001316246	-0.0157767639	-0.052069578	0.0261380686	-0.0161953248	0.0280986784	-0.0208520577	0.0130224832	0	0	0	0	0	0	0	0
-0.0329989	-0.014535	0.0109812	-0.00086888	0.000509235	0	-0.0170041	-0.00621633	0.0251061	-0.000312459	0.000131841	5.29396e-23	0.07054153	0.0512745577	0.0511002618	0.0508102074	0.0504050515	0.0498857119	0.0492533652	0.0485094437	0.0476556328	0.0466938665	0.0456263236	0.0444554224	0.0431838154	0.0418143832	0.0403502279	0.0387946664	0.0371512224	0.035423619	0.0336157698	0.0317317699	0.0297758875	0.027752553	0.0256663501	-0.0007496614	0.0003818899	-0.028247959	-0.0310597183	-0.0613088578	0.003631064	-0.0718136248	-0.0174283836	0.0060126277	-0.0037921136	0	0	0	0	0	0	0	0
-0.0150122	-0.0276432	-0.0119454	0.000384646	0.000800804	0.000150248	0.0179867	-0.0131082	-0.0229266	0.001253526	0.000291569	0.000150248	0.13878865	0.0512640087	0.0510581178	0.0507155786	0.050237308	0.0496245858	0.048879052	0.0480027017	0.0469978805	0.0458672776	0.0446139188	0.0432411585	0.0417526707	0.040152439	0.0384447462	0.0366341627	0.0347255342	0.0327239687	0.0306348232	0.0284636888	0.0262163763	0.0238989001	0.0215174627	-0.0088959748	0.0226328892	-0.0526764229	-0.013373697	0.0066383543	-0.0727369374	-0.0075758498	0.0045813431	0.0067234	-0.0311498412	0	0	0	0	0	0	0	0
-0.0329463	-0.0322779	-0.163847	0.00239862	0.000381719	-0.000350071	-0.0179341	-0.0046347	-0.1519016	0.002013974	-0.000419085	-0.000500319	0.3211393	0.0512525814	0.0510124748	0.0506131302	0.0500557939	0.0493422058	0.0484745935	0.0474556651	0.0462886013	0.0449770452	0.0435250908	0.0419372706	0.040218541	0.038374267	0.0364102058	0.0343324881	0.0321475998	0.029862361	0.0274839053	0.0250196571	0.0224773087	0.0198647963	0.0171902747	0.0180182022	-0.0003625192	0.0104672933	0.0453109379	-0.0319902496	0.035971117	0.0237029033	-0.0366376275	-0.0082849448	-0.0430374274	0	0	0	0	0	0	0	0
-0.0291764	0.000628175	-0.12007	0.00127747	0.000687085	0.000161549	0.0037699	0.032906075	0.043777	-0.00112115	0.000305366	0.00051162	0.177359775	0.051240276	0.050963336	0.0505028777	0.049860559	0.049038693	0.0480402391	0.0468687929	0.0455285727	0.0440244045	0.042361705	0.0405464614	0.0385852104	0.0364850145	0.0342534364	0.0318985121	0.0294287216	0.0268529586	0.0241804983	0.0214209644	0.0185842938	0.0156807013	0.0127206428	0.0332219485	0.0511923075	-0.0080588193	-0.0203437822	0.0074362576	-0.0126273849	-0.0274524235	-0.0706180459	-0.0164158012	0.0227147121	0	0	0	0	0	0	0	0
0.0351409	-0.0930521	-0.165373	0.00332067	0.000980363	0.00122659	0.0643173	-0.093680275	-0.045303	0.0020432	0.000293278	0.001065041	0.373376525	0.0512270927	0.0509107048	0.0503848382	0.0496516568	0.0487141772	0.0475762569	0.0462425779	0.044718628	0.0430106775	0.041125754	0.0390716134	0.0368567075	0.0344901501	0.0319816784	0.0293416141	0.0265808199	0.0237106555	0.0207429306	0.0176898562	0.0145639947	0.0113782077	0.0081456036	0.0375958518	0.0068699745	0.0092870219	0.0202750318	-0.0052572002	-0.0366237257	0.0556157045	-0.0469984536	-0.0047488135	0.0075406763	0	0	0	0	0	0	0	0
0.00731546	0.0216892	-0.0937793	0.00146916	0.000666236	0.00033073	-0.02782544	0.1147413	0.0715937	-0.00185151	-0.000314127	-0.00089586	0.36723529	0.0512130319	0.0508545847	0.05025903	0.0494291445	0.0483687975	0.0470829328	0.0455775458	0.0438596552	0.0419372706	0.0398193552	0.0375157835	0.0350372959	0.0323954483	0.0296025581	0.0266716472	0.0236163807	0.0204510037	0.0171902747	0.0138493968	0.0104439465	0.0069898018	0.0035030673	0.0053460027	0.0085453389	0.0140080694	0.0471497514	-0.0241704883	0.0151689612	0.0084816453	-0.0167446248	-0.0296545653	-0.0229086908	0	0	0	0	0	0	0	0
0.00727011	-0.0219719	-0.0402027	0.00134234	0.000219967	0.00033073	-4.53500000000022e-05	-0.0436611	0.0535766	-0.00012682	-0.000446269	0	0.1259375	0.0511980936	0.0507949796	0.0501254723	0.0491930831	0.0480027017	0.0465605712	0.0448742547	0.042952596	0.0408056734	0.0384447462	0.0358821964	0.0331314631	0.0302069725	0.0271240621	0.0238989001	0.0205484008	0.0170901359	0.013542242	0.0099233262	0.0062523676	0.0025486187	-0.0011684964	0.0068289625	0.029432394	-0.0252972602	0.018436655	-0.0173458598	-0.0224017091	-0.0466817716	-0.0141361772	-0.0126719716	-0.0389259411	0	0	0	0	0	0	0	0
0.00727011	-0.0415054	-0.0305415	0.00102667	0.000219967	0.000330731	0	-0.0195335	0.0096612	-0.00031567	0	9.99999999961535e-10	0.04497825	0.0511822782	0.0507318935	0.0499841859	0.0489435374	0.0476160468	0.0460094942	0.044133295	0.041998445	0.039617456	0.037004282	0.034174238	0.03114391	0.0279310578	0.0245545108	0.0210340579	0.0173903312	0.0136446855	0.0098190728	0.0059359137	0.0020179662	-0.001911808	-0.0058303776	0.000786392	0.0339523745	-0.038837962	0.0417061092	0.0240917027	-0.0607088994	0.0072022383	-0.0195197563	-0.010664489	-0.0499967084	0	0	0	0	0	0	0	0
0.00726693	-0.0267276	-0.0199548	0.000342228	0.000219967	7.35905e-05	-3.17999999999933e-06	0.0147778	0.0105867	-0.000684442	0	-0.0002571405	0.072446805	0.0511655859	0.0506653309	0.0498351925	0.0486805757	0.0472089983	0.0454300417	0.0433552888	0.0409982483	0.038374267	0.0355004298	0.0323954483	0.029079539	0.025574292	0.0219025301	0.0180881602	0.0141560177	0.0101317049	0.0060414244	0.001911808	-0.0022302563	-0.0063577993	-0.0104439465	-0.013718543	-0.0197873891	0.0341374255	0.035975197	0.0470423374	0.0038172904	0.0500461363	0.0316218283	0.0096864617	-0.0193721041	0	0	0	0	0	0	0	0
0.00727101	0.004185	0.00147318	7.02148e-05	0.000219967	-7.28977e-05	4.08000000000006e-06	0.0309126	0.02142798	-0.0002720132	0	-0.0001464882	0.07326973	0.051148017	0.0505952962	0.049678515	0.0484042702	0.0467817305	0.044822571	0.042540889	0.0399531023	0.0370778316	0.0339357659	0.030549514	0.026943442	0.0231434973	0.0191770227	0.0150725591	0.0108596403	0.0065685806	0.0022302563	-0.0021241158	-0.0064632038	-0.0107557855	-0.0149709736	-0.0068750679	-0.0139925998	0.0472007818	-0.0346784923	-0.0348678099	0.0523481362	0.002522777	0.0259746081	0.0012544574	0.0521651794	0	0	0	0	0	0	0	0
-0.0106415	0.00411682	0.0543557	-0.000591324	1.84347e-06	-7.28978e-05	-0.01791251	-6.81800000000002e-05	0.05288252	-0.0006615388	-0.00021812353	-9.9999999993443e-11	0.1148463315	0.0511295719	0.0505217943	0.0495141777	0.0481146965	0.0463344264	0.0441874568	0.0416907793	0.0388641531	0.0357299485	0.0323129704	0.0286402612	0.0247408876	0.0206457099	0.0163871381	0.0119988754	0.0075156513	0.002972947	-0.0015932859	-0.0061469092	-0.0106518847	-0.0150725591	-0.0193739464	-0.0125732377	0.0160058638	-0.0382581017	-0.0194118674	-0.0453175906	0.0014659846	-0.0635973962	0.0092577573	-0.011299944	-0.0016551235	0	0	0	0	0	0	0	0
-0.0106237	-0.00714751	0.0686339	-0.00037593	-0.000189297	-7.28978e-05	1.78000000000001e-05	-0.01126433	0.0142782	0.000215394	-0.00019114047	0	0.0458870535	0.0511102507	0.0504448302	0.0493422058	0.047811934	0.0458672776	0.0435250908	0.0408056734	0.0377325944	0.0343324881	0.0306348232	0.0266716472	0.0224773087	0.0180881602	0.013542242	0.0088789537	0.0041387117	-0.0006374004	-0.0054079881	-0.0101317049	-0.0147676106	-0.0192755259	-0.0236163807	-0.0179249701	0.005265954	-0.0560319228	0.0218153677	0.0301028301	-0.0339554069	-0.0250521696	0.015071075	-0.0085811012	-0.0476604593	0	0	0	0	0	0	0	0
2.99496e-05	-0.00376779	0.0685944	-0.000562593	-9.17797e-05	-7.28978e-05	0.0106536496	0.00337972	-3.94999999999979e-05	-0.000186663	9.75173e-05	0	0.0282818846	0.051090054	0.0503644092	0.0491626259	0.0474960658	0.0453804842	0.0428358815	0.0398863142	0.0365596669	0.0328873894	0.0289041989	0.024647752	0.0201582885	0.0154782512	0.0106518847	0.0057248166	0.0007436268	-0.004244593	-0.0091926851	-0.0140538708	-0.018782193	-0.0233329509	-0.0276631221	-0.020351508	-0.0319408376	0.0281453943	0.0002018787	0.0689158441	0.0002105127	0.0327221489	0.0489981248	0.01054075	-0.0194701783	0	0	0	0	0	0	0	0
