"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0196112	-0.038557	0.0100544	-0.000167129	-8.34172e-05	0.000235385	-5.69999999999737e-06	0.0144446	-0.0093411	0.001186451	5.59708e-05	0	0.08591249	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	-0.0075303142	0.0063809056	0.0368297122	0.0196800789	0.0112260511	0.0206370678	-0.0243667429	-0.000150051	0	0	0	0
-0.010403	-0.0147464	0.0194709	-0.000127966	7.01855e-05	0.000235385	0.0092082	0.0238106	0.0094165	3.9163e-05	0.0001536027	0	0.052073585	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	-0.0214291108	0.0178698781	0.0229356726	0.0352416136	0.0189064087	-0.0054616344	0.0064411149	-0.0259398071	0	0	0	0
-0.00390941	-0.0816435	0.00498945	-0.000945027	0	-0.000209433	0.00649359	-0.0668971	-0.01448145	-0.000817061	-7.01855e-05	-0.000444818	0.154475365	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	-0.0227991888	0.018878693	0.0086321904	0.0314130404	0.0258557752	0.0054879258	0.0093077139	0.0045607035	0	0	0	0
-0.0195482	-0.00694561	0.0253984	-0.00115692	-0.000323817	-5.24504e-05	-0.01563879	0.07469789	0.02040895	-0.000211893	-0.000323817	0.0001569826	0.14538026	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	-0.0071611497	0.0384088321	-0.0057971817	0.0001388856	0.0411204685	-0.0100967313	0.0180660959	-0.0251695272	0	0	0	0
0.00271924	-0.0732318	0.00700152	-0.000646802	-2.64698e-23	-0.000185336	0.02226744	-0.06628619	-0.01839688	0.000510118	0.000323817	-0.0001328856	0.15529154	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	0.008502222	0.0316185618	0.0026263156	-0.011445437	0.032466378	0.0012290417	-0.0148160686	0.0218611384	0	0	0	0
0.00262111	-0.0087953	0.0482753	-0.000263252	0.000196016	0.000235385	-9.81300000000001e-05	0.0644365	0.04127378	0.00038355	0.000196016	0.000420721	0.15582276	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	0.015350911	0.0423896572	0.0054496758	-0.0086531125	0.0420944214	0.0016085256	-0.0074189367	0.0019623249	0	0	0	0
0.00262923	-0.0371454	0.0272927	-0.00040966	0.0001719	0.000235385	8.12000000000035e-06	-0.0283501	-0.0209826	-0.000146408	-2.4116e-05	0	0.05786702	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	0.013430495	0.0302394409	0.0254915232	-0.0029413776	0.0291323164	-0.0252107951	-0.0345523865	-0.0039529035	0	0	0	0
0.00263549	-0.0371624	-0.00259246	0.000629663	0.000151798	0.000235385	6.25999999999969e-06	-1.70000000000031e-05	-0.02988516	0.001039323	-2.0102e-05	0	0.08287967	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	-0.0098160359	0.0245427489	0.0359103496	0.0229385903	0.0204985368	0.0029050136	-0.0190065828	-0.0054882423	0	0	0	0
0.00263616	0.0196174	-0.00260018	0.000723566	0.000428903	0.000235385	6.69999999999924e-07	0.0567798	-7.72000000000012e-06	9.3903e-05	0.000277105	0	0.07533859	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	-0.0344480545	0.0033383477	0.0100526274	0.0377548156	-2.2131e-05	-0.0031901775	0.0082284853	-0.0034266453	0	0	0	0
0.00263037	-0.0291052	-0.00258375	0.000327043	0	0.000235385	-5.78999999999988e-06	-0.0487226	1.643e-05	-0.000396523	-0.000428903	0	0.09001612	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	-0.018811981	0.0492721507	-0.0330909033	0.0095408037	0.0524969875	0.0044070977	-0.0076897067	0.0273648556	0	0	0	0
0.000455962	0.00550151	0.00563667	0.000522877	0	5.71289e-05	-0.002174408	0.03460671	0.00822042	0.000195834	0	-0.0001782561	0.063706043	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	0.0138803098	0.0446413736	-0.0418700375	-0.0219075957	0.0424878204	0.0150950819	-0.0061649302	0.0197174232	0	0	0	0
0.00263037	-0.0182466	0.0154136	0.000185177	0	0.000235385	0.002174408	-0.02374811	0.00977693	-0.0003377	0	0.0001782561	0.061497253	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	0.0226887194	0.0317217361	-0.0309280071	-0.0201443794	0.0175086958	-0.0400493319	0.018812295	0.0382830653	0	0	0	0
