"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.000352797	0.00193063	0.0143049	6.9277e-05	9.27671e-05	0.000471193	-0.003230097	0.001194336	0.01548181	0.000277819	-0.0001662829	0.000336431	0.058932888	0.051148017	0.0505952962	0.049678515	0.0484042702	0.0467817305	0.044822571	0.042540889	0.0399531023	0.0370778316	0.0339357659	0.030549514	0.026943442	0.0231434973	0.0191770227	0.0150725591	0.0108596403	0.0065685806	0.0022302563	-0.0021241158	-0.0064632038	-0.0107557855	-0.0149709736	-0.0443688256	-0.044437965	0.0560806379	0.0573937651	-0.0395165383	0.0207773075	0.0524417869	-0.0076624943	0	0	0	0
0.00230141	0.00212415	0.0180562	0.000166165	9.71607e-06	0.000156337	0.002654207	0.00019352	0.0037513	9.6888e-05	-8.305103e-05	-0.000314856	0.0313387785	0.0511295719	0.0505217943	0.0495141777	0.0481146965	0.0463344264	0.0441874568	0.0416907793	0.0388641531	0.0357299485	0.0323129704	0.0286402612	0.0247408876	0.0206457099	0.0163871381	0.0119988754	0.0075156513	0.002972947	-0.0015932859	-0.0061469092	-0.0106518847	-0.0150725591	-0.0193739464	-0.0049885199	-0.0798413412	-0.0129755205	-0.0048177854	-0.073737004	-0.0208798192	0.0263183606	-0.0039681558	0	0	0	0
-0.000339131	0.0051372	-0.00111821	0.00041991	-6.34694e-05	0.000200858	-0.002640541	0.00301305	-0.01917441	0.000253745	-7.318547e-05	4.4521e-05	0.0434005745	0.0511102507	0.0504448302	0.0493422058	0.047811934	0.0458672776	0.0435250908	0.0408056734	0.0377325944	0.0343324881	0.0306348232	0.0266716472	0.0224773087	0.0180881602	0.013542242	0.0088789537	0.0041387117	-0.0006374004	-0.0054079881	-0.0101317049	-0.0147676106	-0.0192755259	-0.0236163807	-0.0562418956	-0.0210013728	-0.0228576953	0.0398025488	-0.0076655448	-0.0474774442	0.0179406061	-0.022136481	0	0	0	0
-0.000340487	-0.0101177	0.010404	0.000210081	-6.29771e-05	2.08804e-05	-1.35599999999999e-06	-0.0152549	0.01152221	-0.000209829	4.92300000000002e-07	-0.0001799776	0.046293411	0.051090054	0.0503644092	0.0491626259	0.0474960658	0.0453804842	0.0428358815	0.0398863142	0.0365596669	0.0328873894	0.0289041989	0.024647752	0.0201582885	0.0154782512	0.0106518847	0.0057248166	0.0007436268	-0.004244593	-0.0091926851	-0.0140538708	-0.018782193	-0.0233329509	-0.0276631221	-0.0390838249	-0.0052653744	0.0443854354	0.0296730804	-0.0061454203	0.0219821772	0.040593197	-0.009240584	0	0	0	0
-0.00240454	-0.0101372	-0.00116498	0.000188759	-0.000127332	8.47853e-06	-0.002064053	-1.95000000000004e-05	-0.01156898	-2.1322e-05	-6.43549e-05	-1.240187e-05	0.0185564715	0.0510689819	0.0502805367	0.0489754657	0.0471671784	0.0448742547	0.042120254	0.0389334734	0.0353466565	0.0313966575	0.0271240621	0.0225727706	0.0177895469	0.012823538	0.007725769	0.0025486187	-0.0026547183	-0.0078307784	-0.0129263783	-0.0178891614	-0.0226681358	-0.0272141981	-0.0314806383	0.0211889411	-0.0439850049	0.0402277468	-0.0183485709	-0.036011462	0.0254077631	0.0511587195	-0.0220857017	0	0	0	0
-0.000324554	-0.0101373	-0.0011709	0.000422824	-0.000197705	-0.000229171	0.002079986	-9.99999999976714e-08	-5.92000000000019e-06	0.000234065	-7.0373e-05	-0.00023764953	0.0291903825	0.051047035	0.0501932186	0.048780754	0.046825362	0.0443488058	0.0413786495	0.0379479508	0.0340948932	0.029862361	0.0252974622	0.0204510037	0.0153769266	0.0101317049	0.0047737179	-0.0006374004	-0.0060414244	-0.0113782077	-0.016588352	-0.0216138688	-0.0263988242	-0.030889962	-0.0350372959	0.0146369626	-0.0192992958	-0.0357219705	-0.0457844821	-0.0280722581	-0.050445707	0.0225129336	-0.0281961474	0	0	0	0
-0.000322825	-0.00264848	-0.00117355	0.000275175	-0.000127332	-0.000134905	1.72900000000001e-06	0.00748882	-2.64999999999987e-06	-0.000147649	7.0373e-05	9.4266e-05	0.023107599	0.0510242134	0.0501024608	0.0485785209	0.0464707102	0.0438043627	0.0406115256	0.0369305738	0.0328057493	0.0282866287	0.0234275279	0.018286849	0.0129263783	0.007410544	0.0018056415	-0.0038209632	-0.0094016433	-0.0148693239	-0.0201582885	-0.0252049683	-0.0299487067	-0.0343324881	-0.0383036235	-0.0197220359	0.0391952376	0.0018191942	0.0021785204	0.0488171263	-0.0279642671	0.0414321799	-0.0446132874	0	0	0	0
0.00706498	0.00641585	-0.0156747	-0.00137179	0.000281441	-0.000105045	0.007387805	0.00906433	-0.01450115	-0.001646965	0.000408773	2.986e-05	0.135233185	0.0510005177	0.0500082695	0.0483687975	0.0461033203	0.0432411585	0.0398193552	0.0358821964	0.0314806383	0.0266716472	0.0215174627	0.016084792	0.0104439465	0.004667932	-0.0011684964	-0.0069898018	-0.0127206428	-0.018286849	-0.0236163807	-0.0286402612	-0.03329347	-0.0375157835	-0.0412525551	0.0171490951	0.0409499599	0.0376060042	-0.0171949608	0.0574852912	0.0172984307	0.049097942	0.0480910598	0	0	0	0
0.0178441	-0.0400092	-0.0862816	-0.000946608	0.000217621	-0.000166807	0.01077912	-0.04642505	-0.0706069	0.000425182	-6.382e-05	-6.1762e-05	0.15534927	0.0509759483	0.0499106512	0.0481516161	0.0457232929	0.0426594344	0.0390026269	0.0348036986	0.0301210128	0.0250196571	0.0195705382	0.0138493968	0.0079357543	0.001911808	-0.0041387117	-0.0101317049	-0.0159838716	-0.0216138688	-0.026943442	-0.0318985121	-0.0364102058	-0.0404158122	-0.0438596552	0.0282914773	0.0395235143	0.0302763939	-0.0301975509	0.0449713911	0.0343604023	-0.0156914631	0.0185564445	0	0	0	0
0.0344787	-0.0199637	-0.0177678	-0.000166019	-0.000127332	0.000223375	0.0166346	0.0200455	0.0685138	0.000780589	-0.000344953	0.000390182	0.1809801	0.0509505055	0.0498096126	0.0479270103	0.0453307324	0.0420594396	0.0381618445	0.0336959856	0.0287283636	0.0233329509	0.0175900897	0.0115852966	0.0054079881	-0.0008498502	-0.0070950334	-0.0132345652	-0.0191770227	-0.0248339173	-0.0301210128	-0.0349595797	-0.0392775675	-0.0430106775	-0.0461033203	0.0672540807	0.0322928574	0.0616434087	-0.0817301968	0.0477416683	0.0524457653	0.0726935529	-0.0470245417	0	0	0	0
