"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.00508783	0.00592733	0.00103593	0.000350849	9.96086e-05	9.97812e-05	-8.40000000000216e-07	2.21999999999983e-06	-1.53999999999996e-06	-0.000137125	-9.10004e-05	0	0.01141087	0.051148017	0.0505952962	0.049678515	0.0484042702	0.0467817305	0.044822571	0.042540889	0.0399531023	0.0370778316	0.0339357659	0.030549514	0.026943442	0.0231434973	0.0191770227	0.0150725591	0.0108596403	0.0065685806	0.0022302563	-0.0021241158	-0.0064632038	-0.0107557855	-0.0149709736	-0.0035357395	0.0083256383	0.0571176586	-0.0333575979	0.0206088555	-0.013177039	-0.0634044814	0.0119052244	-0.0236061891	0	0	0	0	0	0
0.0132103	0.00593049	0.00101842	-0.0010488	0.000179102	4.74956e-05	0.00812247	3.16000000000032e-06	-1.75100000000001e-05	-0.001399649	7.94934e-05	-5.22856e-05	0.08471454	0.0511295719	0.0505217943	0.0495141777	0.0481146965	0.0463344264	0.0441874568	0.0416907793	0.0388641531	0.0357299485	0.0323129704	0.0286402612	0.0247408876	0.0206457099	0.0163871381	0.0119988754	0.0075156513	0.002972947	-0.0015932859	-0.0061469092	-0.0106518847	-0.0150725591	-0.0193739464	-0.03997769	0.0394979408	0.0173422236	-0.0249448633	-0.0413894939	-0.0236219522	-0.0441331592	0.0390023147	-0.0294393449	0	0	0	0	0	0
0.0241305	-0.0286162	-0.0591484	-0.00185035	0.000726586	9.97812e-05	0.0109202	-0.03454669	-0.06016682	-0.00080155	0.000547484	5.22856e-05	0.17569969	0.0511102507	0.0504448302	0.0493422058	0.047811934	0.0458672776	0.0435250908	0.0408056734	0.0377325944	0.0343324881	0.0306348232	0.0266716472	0.0224773087	0.0180881602	0.013542242	0.0088789537	0.0041387117	-0.0006374004	-0.0054079881	-0.0101317049	-0.0147676106	-0.0192755259	-0.0236163807	-0.0243829881	0.0448533295	0.0198925466	0.0202769178	-0.0338897158	0.000431394	-0.028281128	-0.0010797678	0.0123770335	0	0	0	0	0	0
0.0290915	-0.03546	-0.00112827	-0.000814138	0.000350633	9.97812e-05	0.004961	-0.0068438	0.05802013	0.001036212	-0.000375953	0	0.14043318	0.051090054	0.0503644092	0.0491626259	0.0474960658	0.0453804842	0.0428358815	0.0398863142	0.0365596669	0.0328873894	0.0289041989	0.024647752	0.0201582885	0.0154782512	0.0106518847	0.0057248166	0.0007436268	-0.004244593	-0.0091926851	-0.0140538708	-0.018782193	-0.0233329509	-0.0276631221	-0.0218675418	0.0482058051	-0.0029696745	-0.016607943	-0.0377760536	-0.0006476565	-0.0202845097	0.0527280791	-0.02594447	0	0	0	0	0	0
0.0464559	-0.0210568	0.015249	-0.000238034	-0.000291046	0.000285101	0.0173644	0.0144032	0.01637727	0.000576104	-0.000641679	0.0001853198	0.11830001	0.0510689819	0.0502805367	0.0489754657	0.0471671784	0.0448742547	0.042120254	0.0389334734	0.0353466565	0.0313966575	0.0271240621	0.0225727706	0.0177895469	0.012823538	0.007725769	0.0025486187	-0.0026547183	-0.0078307784	-0.0129263783	-0.0178891614	-0.0226681358	-0.0272141981	-0.0314806383	-0.0096980956	0.0824631217	-0.0020401792	-0.0479022334	-0.0418592604	0.0311202183	-0.028411856	0.0943693313	-0.0404044975	0	0	0	0	0	0
0.0245701	-0.000206078	0.0152472	-0.000238034	-0.000402415	9.97812e-05	-0.0218858	0.020850722	-1.79999999999972e-06	0	-0.000111369	-0.0001853198	0.057572762	0.051047035	0.0501932186	0.048780754	0.046825362	0.0443488058	0.0413786495	0.0379479508	0.0340948932	0.029862361	0.0252974622	0.0204510037	0.0153769266	0.0101317049	0.0047737179	-0.0006374004	-0.0060414244	-0.0113782077	-0.016588352	-0.0216138688	-0.0263988242	-0.030889962	-0.0350372959	0.0310381748	0.0933004109	-0.0136624815	-0.0471856859	-0.0073150996	0.0459160617	-0.0157810351	0.0887281977	-0.0235704814	0	0	0	0	0	0
0.0288719	0.016595	0.0327949	-0.000843109	-0.000144593	9.97812e-05	0.0043018	0.016801078	0.0175477	-0.000605075	0.000257822	0	0.081795428	0.0510242134	0.0501024608	0.0485785209	0.0464707102	0.0438043627	0.0406115256	0.0369305738	0.0328057493	0.0282866287	0.0234275279	0.018286849	0.0129263783	0.007410544	0.0018056415	-0.0038209632	-0.0094016433	-0.0148693239	-0.0201582885	-0.0252049683	-0.0299487067	-0.0343324881	-0.0383036235	0.0615651731	0.0762122054	0.0080491162	-0.0365021589	0.0160463531	0.0562441831	-0.031799212	0.0647818331	-0.0261663353	0	0	0	0	0	0
0.0456454	0.00121285	0.00182415	-0.000663884	-0.000436677	0.000433665	0.0167735	-0.01538215	-0.03097075	0.000179225	-0.000292084	0.0003338838	0.10338604	0.0510005177	0.0500082695	0.0483687975	0.0461033203	0.0432411585	0.0398193552	0.0358821964	0.0314806383	0.0266716472	0.0215174627	0.016084792	0.0104439465	0.004667932	-0.0011684964	-0.0069898018	-0.0127206428	-0.018286849	-0.0236163807	-0.0286402612	-0.03329347	-0.0375157835	-0.0412525551	0.0720370701	0.0564022948	0.0070599336	-0.0192320658	0.0234629956	0.0515229029	-0.0263833185	0.0287886069	-0.0150207658	0	0	0	0	0	0
0.029159	0.0166097	0.0309171	-0.000319187	-0.000576263	9.97812e-05	-0.0164864	0.01539685	0.02909295	0.000344697	-0.000139586	-0.0003338838	0.10188454	0.0509759483	0.0499106512	0.0481516161	0.0457232929	0.0426594344	0.0390026269	0.0348036986	0.0301210128	0.0250196571	0.0195705382	0.0138493968	0.0079357543	0.001911808	-0.0041387117	-0.0101317049	-0.0159838716	-0.0216138688	-0.026943442	-0.0318985121	-0.0364102058	-0.0404158122	-0.0438596552	0.0542287767	0.0261935206	0.0504138152	-0.0474290569	0.0532002797	0.0248222087	-0.0457997292	0.0423633084	-0.0312330281	0	0	0	0	0	0
0.0315462	0.0329128	0.0182765	-0.00107234	-0.000144593	9.97812e-05	0.0023872	0.0163031	-0.0126406	-0.000753153	0.00043167	0	0.09057205	0.0509505055	0.0498096126	0.0479270103	0.0453307324	0.0420594396	0.0381618445	0.0336959856	0.0287283636	0.0233329509	0.0175900897	0.0115852966	0.0054079881	-0.0008498502	-0.0070950334	-0.0132345652	-0.0191770227	-0.0248339173	-0.0301210128	-0.0349595797	-0.0392775675	-0.0430106775	-0.0461033203	0.0197676516	0.0265557109	0.0820888818	-0.0234982521	0.0258898715	0.0042747524	-0.0681679737	0.0120661688	0.00066365	0	0	0	0	0	0
