"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.00256574	-0.00264317	0.00392617	8.09348e-05	6.59993e-06	-5.75493e-05	-0.02837144	0.02722763	0.05836317	0.0001504445	-0.00040119807	-0.0001788893	0.1504888335	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	0.0164658744	0.055645757	-0.0251016901	-0.0209462027	0.0045905339	0.0536874816	-0.0063640243	-0.0298209601	-0.0131369257	0.0389356453	0	0	0	0	0	0	0	0	0
0.00631056	-0.052237	-0.0443112	0.00175449	6.59993e-06	4.38307e-05	0.0088763	-0.04959383	-0.04823737	0.0016735552	0	0.00010138	0.19545426	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	0.0652698492	0.0682567901	0.0130404282	-0.0522689839	0.0464858329	0.0053688939	-0.0375235028	-0.0186973537	-0.0439328757	-0.0182007455	0	0	0	0	0	0	0	0	0
0.061321	-0.0745028	-0.0964993	0.00240543	6.59993e-06	0.000820252	0.05501044	-0.0222658	-0.0521881	0.00065094	0	0.0007764213	0.200832405	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	0.0466550874	0.0628223487	0.0374956274	0.0123133437	0.0699815144	0.0017401236	-0.0392153779	-0.0363294746	-0.0487875674	0.0361960877	0	0	0	0	0	0	0	0	0
0.0274139	-0.0149147	-0.0186644	0.000729405	0.000533179	4.95367e-05	-0.0339071	0.0595881	0.0778349	-0.001676025	0.00052657907	-0.0007707153	0.3199960685	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	0.0168612288	0.0454035363	0.0446831154	-0.0142274157	0.0020925342	0.0536031878	0.018368571	-0.0125826507	-0.0457741875	0.0125848141	0	0	0	0	0	0	0	0	0
0.055124	-0.0473278	-0.0365225	0.000461065	0.000522827	0.000310535	0.0277101	-0.0324131	-0.0178581	-0.00026834	-1.0352e-05	0.0002609983	0.104965815	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	0.011797767	0.0486125633	0.0544350995	-0.0038358565	0.0286980988	-0.0085022761	-0.0424391204	0.0010153498	-0.0404803171	-0.0166829304	0	0	0	0	0	0	0	0	0
0.0708414	-0.0282277	-0.0354188	0.000414523	0.000761715	0.000749305	0.0157174	0.0191001	0.00110369999999999	-4.65419999999999e-05	0.000238888	0.00043877	0.0721312	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	0.0019337085	0.0495586327	0.0331841389	0.0559991201	0.0238409962	0.0258396316	-0.0241560508	-0.0317389673	0.0049652738	0.051415847	0	0	0	0	0	0	0	0	0
0.0568816	-0.0142351	-0.00127974	8.71075e-05	0.00105535	0.000310535	-0.0139598	0.0139926	0.03413906	-0.0003274155	0.000293635	-0.00043877	0.115082485	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	-0.0034137652	0.0565467103	-0.0011388535	0.0581055536	-0.0039598472	0.0451417617	-0.0114263726	-0.0329379154	0.0317678497	0.0344168346	0	0	0	0	0	0	0	0	0
0.0591327	-0.0224129	0.00573967	-0.000411361	0.0015365	0.000677335	0.00225109999999999	-0.0081778	0.00701941	-0.0004984685	0.00048115	0.0003668	0.084769235	0.0520108938	0.0509138886	0.0491026536	0.0466025972	0.0434487905	0.0396854757	0.0353654455	0.030549302	0.025304607	0.0197049341	0.0138288366	0.0077587455	0.0015798132	-0.004621281	-0.010757547	-0.016742904	-0.0224933884	-0.0279283311	-0.0329714899	-0.0375521182	-0.0416059582	-0.0095068972	0.0456592924	-0.0357291761	0.0269669734	-0.0036840598	0.0279531598	-0.0180188675	-0.0123898359	0.056229209	-0.0015521254	0	0	0	0	0	0	0	0	0
0.0699777	-0.0420315	-0.0486299	0.000200181	0.00149024	0.000911319	0.010845	-0.0196186	-0.05436957	0.000611542	-4.626e-05	0.000233984	0.12942247	0.0519837232	0.0508059967	0.048862844	0.0461835398	0.0428084497	0.0387884217	0.0341840202	0.0290646136	0.0235073292	0.0175958911	0.0114193591	0.0050707869	-0.0013541801	-0.0077587455	-0.0140464202	-0.0201224762	-0.0258953737	-0.03127814	-0.0361896802	-0.0405559987	-0.044311314	-0.0146956537	0.0471492378	-0.0495546576	0.0224685754	0.0358638471	0.0024342763	-0.0385510441	-0.0189687588	0.0275585345	0.0402447039	0	0	0	0	0	0	0	0	0
0.0631415	-0.0120793	-0.00259851	0.000101897	0.00165462	0.000566186	-0.00683619999999999	0.0299522	0.04603139	-9.8284e-05	0.00016438	-0.000345133	0.11320964	0.0519555872	0.0506943307	0.0486148674	0.0457507597	0.0421482344	0.0378654364	0.0329714899	0.0275453833	0.021674694	0.015454175	0.0089842256	0.0023692706	-0.0042839244	-0.0108679768	-0.01727662	-0.0234064185	-0.0291584371	-0.0344398384	-0.0391653804	-0.0432587929	-0.0466540082	-0.0135314641	0.0473017886	-0.0329689157	-0.0274896073	0.0257132263	0.0614191574	0.0200962235	0.004944096	0.0134702408	0.0004979107	0	0	0	0	0	0	0	0	0
