"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.00110809	-0.00204607	-0.00436183	-8.35894e-05	7.85198e-05	-5.52625e-05	0.01354111	0.02643893	-0.00276801	-0.0005181814	7.5042e-06	1.00271e-05	0.069533685	0.051148017	0.0505952962	0.049678515	0.0484042702	0.0467817305	0.044822571	0.042540889	0.0399531023	0.0370778316	0.0339357659	0.030549514	0.026943442	0.0231434973	0.0191770227	0.0150725591	0.0108596403	0.0065685806	0.0022302563	-0.0021241158	-0.0064632038	-0.0107557855	-0.0149709736	0.011450593	-0.022019154	0.040138485	-0.0121610344	0.0311445007	0.0014079172	0.0163980236	-0.0190245172	0.0204813728	-0.0159504248	0	0	0	0
-0.00336416	-0.00986214	0.00402246	9.27951e-05	6.47433e-05	-5.52625e-05	-0.00225607	-0.00781607	0.00838429	0.0001763845	-1.37765e-05	0	0.02796448	0.0511295719	0.0505217943	0.0495141777	0.0481146965	0.0463344264	0.0441874568	0.0416907793	0.0388641531	0.0357299485	0.0323129704	0.0286402612	0.0247408876	0.0206457099	0.0163871381	0.0119988754	0.0075156513	0.002972947	-0.0015932859	-0.0061469092	-0.0106518847	-0.0150725591	-0.0193739464	0.0111531842	-0.0153552364	-0.0187156097	-0.0544455069	-0.0028278982	0.02588979	-0.0027178285	0.0021581823	-0.0110942774	-0.0221714712	0	0	0	0
-0.00229903	-0.00204881	-0.00159946	7.027e-05	-0.00018389	-0.0002123	0.00106513	0.00781333	-0.00562192	-2.25251e-05	-0.0002486333	-0.0001570375	0.035910175	0.0511102507	0.0504448302	0.0493422058	0.047811934	0.0458672776	0.0435250908	0.0408056734	0.0377325944	0.0343324881	0.0306348232	0.0266716472	0.0224773087	0.0180881602	0.013542242	0.0088789537	0.0041387117	-0.0006374004	-0.0054079881	-0.0101317049	-0.0147676106	-0.0192755259	-0.0236163807	0.0163829827	-0.0088527422	0.0324826587	-0.0083437311	0.002169523	-0.002016786	0.0105029103	-0.0243634369	0.0085690387	-0.0145996575	0	0	0	0
0.0119857	-0.00208922	0.040174	-0.000334208	-3.40433e-05	-0.00019204	0.01428473	-4.04100000000003e-05	0.04177346	-0.000404478	0.0001498467	2.026e-05	0.084827835	0.051090054	0.0503644092	0.0491626259	0.0474960658	0.0453804842	0.0428358815	0.0398863142	0.0365596669	0.0328873894	0.0289041989	0.024647752	0.0201582885	0.0154782512	0.0106518847	0.0057248166	0.0007436268	-0.004244593	-0.0091926851	-0.0140538708	-0.018782193	-0.0233329509	-0.0276631221	0.0154467573	-0.0199698876	0.0151834955	-0.0396789284	0.0225788306	-0.005763787	0.002749057	0.0046102338	-0.0077728763	-0.0424759729	0	0	0	0
0.0271747	0.0195693	0.0174145	0.000990927	-0.000103132	0.000499563	0.015189	0.02165852	-0.0227595	0.001325135	-6.90887e-05	0.000691603	0.163898355	0.0510689819	0.0502805367	0.0489754657	0.0471671784	0.0448742547	0.042120254	0.0389334734	0.0353466565	0.0313966575	0.0271240621	0.0225727706	0.0177895469	0.012823538	0.007725769	0.0025486187	-0.0026547183	-0.0078307784	-0.0129263783	-0.0178891614	-0.0226681358	-0.0272141981	-0.0314806383	0.0199922638	-0.0271621438	0.0404181094	-0.0153381027	-0.0254387951	0.0027638318	-0.0003736244	-0.0137219295	0.0065603463	-0.0343040142	0	0	0	0
0.0235474	0.0502513	0.00313482	0.000671677	-0.000311598	0.000508514	-0.0036273	0.030682	-0.01427968	-0.00031925	-0.000208466	8.95099999999999e-06	0.07542233	0.051047035	0.0501932186	0.048780754	0.046825362	0.0443488058	0.0413786495	0.0379479508	0.0340948932	0.029862361	0.0252974622	0.0204510037	0.0153769266	0.0101317049	0.0047737179	-0.0006374004	-0.0060414244	-0.0113782077	-0.016588352	-0.0216138688	-0.0263988242	-0.030889962	-0.0350372959	0.008424669	-0.001310816	0.0121753464	-0.0430292846	0.005912567	-0.0026639786	-0.0143533396	0.0008110195	0.0102626267	-0.0245749586	0	0	0	0
0.0249149	-0.00624903	0.0322722	0.000699905	-0.000100493	0.000577947	0.0013675	-0.05650033	0.02913738	2.8228e-05	0.000211105	6.94329999999999e-05	0.10244351	0.0510242134	0.0501024608	0.0485785209	0.0464707102	0.0438043627	0.0406115256	0.0369305738	0.0328057493	0.0282866287	0.0234275279	0.018286849	0.0129263783	0.007410544	0.0018056415	-0.0038209632	-0.0094016433	-0.0148693239	-0.0201582885	-0.0252049683	-0.0299487067	-0.0343324881	-0.0383036235	0.0181293804	-0.0015024072	0.0243628551	-0.0223782427	-0.010899399	0.0300058461	-0.0388112538	0.0267982132	0.0054646866	-0.0142073531	0	0	0	0
0.030383	0.0160694	0.011753	0.000699905	-0.000344527	0.000706162	0.0054681	0.02231843	-0.0205192	0	-0.000244034	0.000128215	0.06691818	0.0510005177	0.0500082695	0.0483687975	0.0461033203	0.0432411585	0.0398193552	0.0358821964	0.0314806383	0.0266716472	0.0215174627	0.016084792	0.0104439465	0.004667932	-0.0011684964	-0.0069898018	-0.0127206428	-0.018286849	-0.0236163807	-0.0286402612	-0.03329347	-0.0375157835	-0.0412525551	0.0092586158	0.0223160014	-0.0005421288	-0.0336337157	0.076456347	0.0064950287	-0.0485521745	0.0082080655	0.0100968317	0.0097900991	0	0	0	0
0.0222408	0.0371724	0.0174483	0.000581585	-0.000320445	0.000780664	-0.0081422	0.021103	0.0056953	-0.00011832	2.4082e-05	7.45019999999999e-05	0.0457857	0.0509759483	0.0499106512	0.0481516161	0.0457232929	0.0426594344	0.0390026269	0.0348036986	0.0301210128	0.0250196571	0.0195705382	0.0138493968	0.0079357543	0.001911808	-0.0041387117	-0.0101317049	-0.0159838716	-0.0216138688	-0.026943442	-0.0318985121	-0.0364102058	-0.0404158122	-0.0438596552	0.0145947909	0.0348775256	-0.0163014433	-0.0196579473	-0.0203788916	-0.0084233894	-0.030786853	0.0285808583	0.0032287886	0.0026820923	0	0	0	0
0.0359646	0.00775428	-0.0135582	0.000865209	-0.000276058	0.000957046	0.0137238	-0.02941812	-0.0310065	0.000283624	4.4387e-05	0.000176382	0.09936807	0.0509505055	0.0498096126	0.0479270103	0.0453307324	0.0420594396	0.0381618445	0.0336959856	0.0287283636	0.0233329509	0.0175900897	0.0115852966	0.0054079881	-0.0008498502	-0.0070950334	-0.0132345652	-0.0191770227	-0.0248339173	-0.0301210128	-0.0349595797	-0.0392775675	-0.0430106775	-0.0461033203	0.0106633691	0.0487223572	-0.0110930959	-0.0123640888	-0.0045250942	-0.0229031516	-0.0081364238	0.0246890206	-0.002154459	0.0430248665	0	0	0	0
