"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.013701	-0.0150593	-0.0430894	0.000246441	-6.41534e-05	9.3747e-05	-0.0051013	-0.0428014	-0.0299776	0.0001704415	0	5.1613e-05	0.088983025	0.051090054	0.0503644092	0.0491626259	0.0474960658	0.0453804842	0.0428358815	0.0398863142	0.0365596669	0.0328873894	0.0289041989	0.024647752	0.0201582885	0.0154782512	0.0106518847	0.0057248166	0.0007436268	-0.004244593	-0.0091926851	-0.0140538708	-0.018782193	-0.0233329509	-0.0276631221	-0.0104925678	6.88474e-05	0.0347984593	0.0288083331	-0.0615923616	-0.013049434	0.0201565644	0.0204497956	0.0134819819	0.0795349295	0	0	0	0	0	0
0.0305191	-0.032412	-0.141349	0.000660492	0.000178813	0.000508585	0.0168181	-0.0173527	-0.0982596	0.000414051	0.0002429664	0.000414838	0.18602317	0.0510689819	0.0502805367	0.0489754657	0.0471671784	0.0448742547	0.042120254	0.0389334734	0.0353466565	0.0313966575	0.0271240621	0.0225727706	0.0177895469	0.012823538	0.007725769	0.0025486187	-0.0026547183	-0.0078307784	-0.0129263783	-0.0178891614	-0.0226681358	-0.0272141981	-0.0314806383	-0.029440275	-0.0150628076	0.0107126274	-0.0640667209	-0.0324608553	-0.0215518184	0.0492910633	-0.0120496289	0.0453538631	-0.0324066506	0	0	0	0	0	0
0.0271293	0.041007	-0.113307	0.000208588	0.00023073	0.00024898	-0.00338979999999999	0.073419	0.028042	-0.000451904	5.1917e-05	-0.000259605	0.1430221	0.051047035	0.0501932186	0.048780754	0.046825362	0.0443488058	0.0413786495	0.0379479508	0.0340948932	0.029862361	0.0252974622	0.0204510037	0.0153769266	0.0101317049	0.0047737179	-0.0006374004	-0.0060414244	-0.0113782077	-0.016588352	-0.0216138688	-0.0263988242	-0.030889962	-0.0350372959	-0.0358127995	-0.0358933804	0.0038334936	-0.0390940126	-0.005124474	-0.0276599039	0.0339562115	0.0076475988	0.0182210023	0.0077142702	0	0	0	0	0	0
0.00997477	-0.0401318	-0.111184	-0.000444726	0.00023073	0.000249511	-0.01715453	-0.0811388	0.002123	-0.000653314	0	5.31000000000012e-07	0.13310858	0.0510242134	0.0501024608	0.0485785209	0.0464707102	0.0438043627	0.0406115256	0.0369305738	0.0328057493	0.0282866287	0.0234275279	0.018286849	0.0129263783	0.007410544	0.0018056415	-0.0038209632	-0.0094016433	-0.0148693239	-0.0201582885	-0.0252049683	-0.0299487067	-0.0343324881	-0.0383036235	-0.0257444644	-0.0040079748	0.0006228878	0.0028248537	0.0291667206	-0.0383009204	-0.0243634746	0.012072249	-0.0338352748	0.0221766184	0	0	0	0	0	0
0.00424153	-0.027902	-0.138992	-2.54457e-05	0.00023073	0.000230807	-0.00573324	0.0122298	-0.027808	0.0004192803	0	-1.8704e-05	0.067670255	0.0510005177	0.0500082695	0.0483687975	0.0461033203	0.0432411585	0.0398193552	0.0358821964	0.0314806383	0.0266716472	0.0215174627	0.016084792	0.0104439465	0.004667932	-0.0011684964	-0.0069898018	-0.0127206428	-0.018286849	-0.0236163807	-0.0286402612	-0.03329347	-0.0375157835	-0.0412525551	-0.023111484	0.0198289742	-0.0349422148	-0.0494147707	0.0755480579	-0.0350002355	-0.0475457111	-0.0224733918	0.0054109767	-0.0896996671	0	0	0	0	0	0
0.0042399	-0.000629028	-0.124302	-0.000356541	0.00023073	0.000102913	-1.63000000000073e-06	0.027272972	0.01469	-0.0003310953	0	-0.000127894	0.064914067	0.0509759483	0.0499106512	0.0481516161	0.0457232929	0.0426594344	0.0390026269	0.0348036986	0.0301210128	0.0250196571	0.0195705382	0.0138493968	0.0079357543	0.001911808	-0.0041387117	-0.0101317049	-0.0159838716	-0.0216138688	-0.026943442	-0.0318985121	-0.0364102058	-0.0404158122	-0.0438596552	-0.0199353911	0.0529019733	-0.022674774	0.02426786	0.039429128	-0.0228067203	-0.0402058824	-0.0005716257	-0.0244479443	-0.0177037881	0	0	0	0	0	0
0.00424029	-0.0355735	-0.141389	-0.000214132	0.00023073	0.000170363	3.90000000000286e-07	-0.034944472	-0.017087	0.000142409	0	6.745e-05	0.062524812	0.0509505055	0.0498096126	0.0479270103	0.0453307324	0.0420594396	0.0381618445	0.0336959856	0.0287283636	0.0233329509	0.0175900897	0.0115852966	0.0054079881	-0.0008498502	-0.0070950334	-0.0132345652	-0.0191770227	-0.0248339173	-0.0301210128	-0.0349595797	-0.0392775675	-0.0430106775	-0.0461033203	-0.0292510987	0.0395031297	-0.0099922269	0.0491589482	0.0068415175	-0.0308378185	-0.0271858081	0.0280846235	-0.0378972853	-0.0103769975	0	0	0	0	0	0
-0.00258408	-0.0195414	-0.175551	0.000883222	0.00023073	0.000215431	-0.00682437	0.0160321	-0.034162	0.001097354	0	4.5068e-05	0.11413957	0.0509241898	0.0497051606	0.0476950147	0.0449257461	0.041441431	0.0372975264	0.0325599874	0.0273042176	0.0216138688	0.0155795096	0.0092971841	0.0028668829	-0.0036090482	-0.010027537	-0.0162864257	-0.0222860966	-0.0279310578	-0.0331314631	-0.0378045419	-0.0418759166	-0.0452807864	-0.0479649587	-0.0334406638	-0.0018597133	-0.0148215648	-0.0274227604	0.0283581171	-0.0169606315	0.0277589623	-0.0035960502	-0.0398833341	-0.0471675153	0	0	-0.380374703292263	-1.08091270754883	-2.22840312389761	-1.68540061352814
0.00427011	0.0149224	-0.138995	-8.88647e-05	0.000399765	0.000208917	0.00685419	0.0344638	0.036556	-0.0009720867	0.000169035	-6.51399999999997e-06	0.135255775	0.0508970017	0.0495973023	0.0474556651	0.0445084453	0.0408056734	0.0364102058	0.0313966575	0.0258501361	0.0198647963	0.013542242	0.0069898018	0.0003187063	-0.0063577993	-0.0129263783	-0.0192755259	-0.0252974622	-0.030889962	-0.03595809	-0.0404158122	-0.0441874568	-0.0472089983	-0.0494291445	-0.0132172013	-0.0589149841	0.0079867621	-0.0150666106	-0.0129715194	0.007755994	0.0516977993	0.0262056998	-0.0045998054	0.0274012198	0	0	-1.27014591083183	-1.28774394727322	-2.22840312389761	-1.68540061352814
0.00428171	-0.0364178	-0.157127	0.000423765	0.000468541	0.000102913	1.16000000000005e-05	-0.0513402	-0.018132	0.0005126297	6.8776e-05	-0.000106004	0.103854285	0.0508689416	0.0494860452	0.0472089983	0.0440789442	0.040152439	0.0355004298	0.0302069725	0.0243677133	0.0180881602	0.0114817767	0.004667932	-0.0022302563	-0.0090881467	-0.0157818258	-0.0221903471	-0.0281979168	-0.0336959856	-0.0385852104	-0.042777249	-0.0461963565	-0.048780754	-0.0504837447	-0.0135027991	0.0390487959	-0.0088417531	0.0288192874	0.0015130723	-0.0289539066	-0.0631717828	-0.0006855427	-0.0329254261	0.0017526813	0	0	-1.72108836539445	-1.30444164896667	-2.22840312389761	-1.68540061352814
0.0042894	-0.0364472	-0.175134	0.000519196	0.000555155	0.000102913	7.68999999999943e-06	-2.93999999999919e-05	-0.018007	9.5431e-05	8.6614e-05	0	0.02714634	0.05084001	0.0493713969	0.0469550524	0.0436373605	0.0394820076	0.0345687596	0.0289919311	0.0228585745	0.0162864257	0.0094016433	0.0023363873	-0.0047737179	-0.011792187	-0.0185842938	-0.0250196571	-0.0309747441	-0.0363352411	-0.0409982483	-0.0448742547	-0.0478888566	-0.0499841859	-0.0511200208	-0.0097833706	0.0548322235	-0.0377868909	-0.029815368	0.0632683021	-0.0084730677	-0.0378449711	-0.0182797144	-0.0055080296	-0.0647614588	0	0	-1.94040207786486	-1.30946970887924	-2.22840312389761	-1.68540061352814
0.00723484	0.00923429	-0.147811	8.31049e-05	0.000581584	0.000376498	0.00294544	0.04568149	0.027323	-0.0004360911	2.6429e-05	0.000273585	0.112755185	0.0508102074	0.0492533652	0.0466938665	0.0431838154	0.0387946664	0.0336157698	0.027752553	0.0213243743	0.0144620929	0.0073054049	0	-0.0073054049	-0.0144620929	-0.0213243743	-0.027752553	-0.0336157698	-0.0387946664	-0.0431838154	-0.0466938665	-0.0492533652	-0.0508102074	-0.0513327002	-0.0051967777	0.0437581722	-0.0017205313	0.0551082103	0.0474706274	-0.0070518748	0.0010019536	0.0103248991	-0.033598817	-0.0239655965	0	0	-1.8639743861055	-1.31045519011602	-2.22840312389761	-1.68540061352814
0.00424024	-0.0244652	-0.169281	0.000615948	0.000276789	0.000362163	-0.0029946	-0.03369949	-0.02147	0.0005328431	-0.000304795	-1.4335e-05	0.100762745	0.0507795342	0.0491319582	0.046425481	0.0427184332	0.0380907096	0.032642048	0.0264898788	0.0197667948	0.0126176931	0.0051966525	-0.0023363873	-0.0098190728	-0.0170901359	-0.0239928691	-0.0303785035	-0.0361094147	-0.0410620891	-0.0451297856	-0.0482248365	-0.0502805367	-0.0512525814	-0.0511200208	-0.0201583074	-0.0148580686	0.0200269511	0.0787457399	0.0427689991	-0.0098756662	0.0327538171	0.0787993128	-0.0741654224	-0.0091862587	0	0	-1.269730985461	-1.30552401864244	-2.22840312389761	0.592443852028073
-0.0106505	-0.013388	-0.181559	0.000640127	0.0006249	0.000102913	-0.01489074	0.0110772	-0.012278	2.41789999999999e-05	0.000348111	-0.00025925	0.06982294	0.0507479912	0.0490071843	0.0461499372	0.0422413413	0.0373704389	0.0316481948	0.0252049683	0.0181875435	0.0107557855	0.0030789983	-0.004667932	-0.0123085215	-0.0196687086	-0.0265808199	-0.0328873894	-0.0384447462	-0.0431262874	-0.046825362	-0.0494577007	-0.050963336	-0.0513079677	-0.0504837447	0.0036411965	-0.0765440436	0.0176144204	0.0092297374	0.0416529653	0.0234333612	0.0677046302	0.031280691	-0.0078332022	-0.0653858368	0	0	-0.819378014926554	-1.29582902680275	-2.22840312389761	-1.68540061352814
0.00426947	-0.000330254	-0.157899	-0.000427454	0.000532616	0.000173542	0.01491997	0.013057746	0.02366	-0.001067581	-9.2284e-05	7.0629e-05	0.113162416	0.0507155786	0.048879052	0.0458672776	0.0417526707	0.0366341627	0.0306348232	0.0238989001	0.016588352	0.0088789537	0.0009560698	-0.0069898018	-0.0147676106	-0.0221903471	-0.029079539	-0.0352695426	-0.0406115256	-0.0449770452	-0.048261137	-0.0503848382	-0.0512970867	-0.0509759483	-0.0494291445	-0.0009587901	-0.0573426031	0.0360981742	0.0520200513	-0.0308198612	0.0050422636	0.0422817755	0.0346578063	0.0035621863	0.0567344047	0	0	-0.070303873688766	-0.666333026623556	-2.22840312389761	0.592443852028073
-0.00443244	-0.059813	-0.17643	0.000603577	0.00092413	0.000558665	-0.00870191	-0.059482746	-0.018531	0.001031031	0.000391514	0.000385123	0.177099056	0.0506822973	0.04874757	0.0455775458	0.0412525551	0.0358821964	0.0296025581	0.0225727706	0.0149709736	0.0069898018	-0.0011684964	-0.0092971841	-0.0171902747	-0.024647752	-0.0314806383	-0.0375157835	-0.0426002529	-0.0466052026	-0.0494291445	-0.0510005177	-0.0512795028	-0.05025903	-0.0479649587	0.0075115723	-0.0497348565	0.015255765	-0.0079548937	0.0055949347	0.0101406665	-0.0031931699	0.0287695459	-0.0134597328	-0.0235265203	0	0	-0.405381764620103	-0.254645839147796	-2.22840312389761	0.592443852028073
